question,answer
Can you help me find an expensive Chinese food restaurant?,What area would you like? There are nine results.
I'm interested in restaurants located in the East.,"Okay, Yu Garden matches your specifications. Would you like me to book a reservation?"
"Yeah, could you book it for 8 people on Monday? I think 16:15 is when we want to be seated.","The booking went through, your table is reserved for 15 minutes starting at 16:15. Reference number is BT75STQI ."
Thanks! I'm also looking for a hotel near that restaurant.,"I would recommend the Express by Holiday Inn Cambridge, should I book it for you?"
I am planning a vacation and really could use some help finding a good place to stay in town. I've never been to Cambridge before.,which side of town do you prefer and what is the price range?
It doesn't matter. What do you recommend?,alexander bed and breakfast is a guest house in the centre area. Would you like to book a room?
"Oh, ok. I really don't want to stay at a guesthouse though. Can you recommend a hotel instead?",The Huntingdon Marriott hotel is a very nice place.
Sounds good. Can you get me a room for 2 for 5 nights starting Sunday?,Booking was successful. Reference number is : 36N9VCAD . Is there anything else I can help with?
What is the train schedule from birmingham new street like? I need to arrive at 13:45.,"Where would you like the train to arrive, and what time will you be leaving?"
I'm planning a trip to Cambridge and I was told the A and B Guest House was a great place to stay. Can you give me information about it?,Absolutely! This is a moderately priced guest house with four stars. There is wifi included. It is located on the east. What else can I help with?
Do you have free parking? I refuse to pay for parking in a hotel that I am staying at. Wouldn't you agree?,"Yes, I would as a matter of fact. And yes the offer free parking."
"Okay, sounds good. Also I need to get a train from Liverpool street to Cambridge.",What day would you like to make this trip? Do you have any other specifications?
"Oh wait, you know what? I forgot to ask about star ratings. What's the star rating on the A and B Guest House, please?",It has four stars. Would you still like information on the train?
I need a train to go from Cambridge to Norwich.,What day of the week are you looking to travel?
I am traveling on Sunday,What time would you like to leave or arrive by?
I would like to arrive by 13:45.,I have the TR7438 that will arrive at 12:55. Would you like a booking made today?
I would like to book that train for 4 people please.,7G6OJ8G2 is your confirmation code. May I help you further?
"yeah, I'm also looking for a place to stay. I don't like hotels, so a guesthouse would be better. Moderate in price.",There are several moderate priced guesthouses do you have a preferred area that you want to stay in?
I am looking for a high priced hotel in the north side of town,"I'm sorry, but there aren't any places that meet those qualifications. Would you like to try a different part of town?"
How about an expensive hotel in the south side of town?,"There is one option, it is The Lensfield Hotel. Do you want me to reserve any rooms for you?"
Does it offer free wifi?,Yes the Lensfield Hotel does have free wifi.
"I'm looking for a hotel, can you help?","I can, we have 9 hotels, do you have anything else to narrow it down?"
It should be in the centre and be on the expensive side.,I have 2 available hotels. One is the Gonville Hotel located on Gonville Place. The other is University Arms Hotel on Regent Street. Which one would you like to book?
Can you book the one without wifi?,"they both have internet, for what days and how many people should I book?"
Do either of them offer free wifi?,"As previously mentioned, they both have internet available. I don't have specifications about the internet service however. Would you like to book one of these?"
"Yes, please book for two nights beginning on Sunday for one person.",Your booking was successful and the reference number is ELYPAXQZ .
Thank you. I'm also looking for a museum to go to in the same area.,there are 11 all with free entrance. Would you like me to recommend one?
Please find me a place to dine that's expensive and in the centre.,Fitzbillies restaurant is expensive in the centre of town. Would you like to try that?
I am looking for Thai food.,we have bankok city. it is located in 24 green street centre. can i give you the phone number?
Ok great. Can you reserve a table there for Thursday for 5 people at 15:00 please?,it was successful. Reference number is : AKNPF1IH .
Thank you for your help.,Your very welcome. Can I help you with anything else today?
"Hi, I am traveling to Cambridge and am super excited to see some local tourist attractions. I am looking for some suggestions on places to go in town.","There are 79 attractions in Cambridge. There are churches, museums, swimming pool, and many more attractions. What are you interested in doing?"
Perhaps I'd like to see a museum. Are there any in the centre?,"There are 11 museums in the centre area. There is a science museum, an art and antiques museum, and 9 others. What kind of museum are you interested in?"
Does not matter can you just recommend one please.,"Castle Galleries is a very nice museum in the centre, and their entrance fee is free!"
I will be staying in Cambridge. I need a hotel with wifi.,What about a and b guest house? It's in the East.
I need something in the centre.,There are 7 hotels which area do you prefer?
The north part of town,"I ran a search in the north, there's 12 choices. Lets make sure were on the same page, is this the area that you want? Also hotel or Guesthouse?"
"Sorry, I've been all over the place. To be clear, I need a hotel with free wifi and parking that is in the centre.","Shall I choose a hotel for you, or do you have a preference? 4 hotels have free parking and internet in that area."
"yes please recommend one. the booking is needed for saturday. 3 nights, 6 people","May I recommend alexander bed and breakfast. While it is a cheap guesthouse in the centre of town, it has a 4 star rating and also included internet and parking"
Can you assist me in finding me an Expensive Restaurant in Cambridge where I can dine? The restaurant should be serving British foods.,"sure, i have 6 options for you"
I'd like it to be in Centre.,I would suggest midsummer house restaurant it has great food.
Can you make me a reservation for Saturday please for 3 people?,What time would you like to dine on Saturday?
We will be dining at 16:30. Please book a table for 3 on Saturday and provide the reference number. I also need a hotel in the same area.,"Alright, I have your restaurant booking. Your reference number is: DHDB0H4V . What are you looking for in a hotel, so I can narrow down the choices?"
Something in the same area as the restaurant. It should also be in that same price range.,I've got two expensive hotels in the area. Both have internet and parking. university arms hotel has 4 stars. Does that meet your needs?
"Yes, that should be perfect thank you.","Would you like me to book you a room? If so, i will need how many people and nights you will be staying and on what day."
"I would like a room for three people, just for Saturday night.",The booking was successful I have a reference number and the hotel number for you.
I am planning a trip in Cambridge.,"I am glad that you are visiting, but I cannot help you until you give me something to search for?"
I'm looking for a train from Cambridge to Leicester on Monday.,We have quite a few trains available that day. Is there any time you would like to depart or arrive by?
I need to leave after 21:45,"TR2919 is leaving at 22:21, would that work?"
"Yes, could you book me 2 tickets and get me a reference number?",Absolutely. I have booked two tickets for TR2919 at a total fee of 75.59 GBP. Your reference number is 8BG1O6W0 . Is there anything else I can assist you with?
I live in the centre of town and want to see if I can find a reasonable room for my parents to stay while they are visiting.,How about the Alexander bed and breakfast in the centre? It is a cheap 4 star guesthouse with free internet and wifi.
That sounds like it might work. Could you check availability for two people this weekend?,"What day are they arriving, and how many nights are they staying?"
I am unsure at this time.,"Okay, would you like some more information about that hotel?"
I am looking for information in Cambridge. I need a place to dine.,"Sure, do you have a type of food you are wanting?"
Crossover food would be perfect.,"Unfortunately, there aren't any crossover restaurants in Cambridge. Is there something else you'd like to try?"
Is there a gastropub in Centre?,"Yes, I have two that are expensive and one that is moderately priced. Do you have a preference?"
Let's go with the moderately priced option. Can I please have the phone number?,"In the moderate price range, I have one place. It's called the Cow Pizza Kitchen and Bar. It's located on Corn Exchange Street. Do you need a reservation?"
"Not right now, but I am looking for a place to stay. Are there any 5-star accommodations in Cambridge?","I'm sorry, there are no 5-star accommodations anywhere in Cambridge. There are many 4-star options. Would you like to try one of those?"
Do you have one with free parking,Yes the allenbell does.
I really need to get out of Cambridge! Can you find me a train to Leicester? Sometime after 08:45 because I like to sleep in.,"I would be happy to help with your request, what day will you be leaving?"
I'll be leaving this place on Saturday.,What time would you like to arrive by?
It does not matter.,There is a train that leaves at 9:21 and arrive in Leiester at 11:06. Would you like me to book it for you?
No thank you. What's the cost of the ticket?,The ticket price is 30.24 pounds. Can I be of further assistance?
I would like to find a cheap hotel to stay at where there is free parking. Do you have any suggestions?,"The cambridge belfry fits the bill, would you like me to book you a room?"
Do they have free parking? are they rated 3 stars?,"Yes, they do have free parking and they have 4 stars."
Did you have something that fits with 3 stars?,"I hovw no listing for a 3 star hotel,would you like too try another area ?"
What about a 4 star hotel?,The Cambridge Belfry is a 4 star hotel in the cheap price range and is on the west side. They offer free Wifi and parking. Would you like a reservation?
"Yes,please book for 5 people for 5 nights starting on Thursday.",I am unable to book for Tuesday.
"I would like to book for Thursday, not Tuesday.","I am sorry, I can't make that reservation either."
I am looking for a 4 star place to stay.,What area would you like to stay in?
"I'd like it to be in the north, and to be a guesthouse.","Great, there are 4 options for you here. I personally recommend avalon. Would you like to book?"
I would like to find out information about a hotel called Warkworth House.,Warkworth house is a guesthouse in the east area. It is moderate pricing with 4 stars. It offers free parking and internet. Would you like a reservation?
Yes please. It'll be for 4 nights.,I will go ahead and book your room.
Thank you. Can I get a reference number for the booking?,"In order to book, can you tell me the number of guests, number of nights and the day of the week you want to start your stay?"
I need to book it to 2 people for 4 nights starting from wednesday.,Okay the booking was successful. The reference number is HZ6B38TH .
I'm also looking for a train. I'll be traveling back to Broxbourne on Friday.,Will you be leaving from Cambridge.
yes i will be leaving from Cambridge.,What time would you like to leave around?
"I need a hotel with free wifi and free parking, thank you",Allenbell is cheap and has free internet.
I'm looking for something in the moderate price range actually.,Archway House is a moderately priced 4 star hotel in the North. Would you like to make a reservation?
Yes please book the Archway House.,"I'd be happy to book for you. How many people will be staying, what is your arrival day, and how many nights are you staying?"
I will be arriving on tuesday and I need to book the room for four nights for three people.,Ok. I've booked that guesthouse for you. Your reference number is YBT4JRTR . Can I help with anything else?
"Yes, I would also l like to find a splendid, moderately-priced place to dine in the centre. That would be just wonderful if you could help me out with that!",There are several moderately priced restaurant in the centre area. Would you like a certain type of food?
I am planning a trip in Cambridge,What area in cambridge would you like to stay?
I'm actually looking to book a specific hotel. It is called the Alpha-Milton Guest House.,"Okay, can you tell me how many people are staying, how many days you want to stay and when you begin your stay, please?"
"I'd like to start my stay on Wednesday, it will be for two nights, and it will be 6 people.","Ok, so you are all booked. Reference number is NM7IWBOC ."
"I am traveling to Cambridge and excited about seeing location attractions. Could you help me find a place to go, like a college?",Certainly. I have many available. Is there a particular area you are looking in? I have several in the west and centre.
Can you give me the entrance fee for one of the colleges in the centre?,"Corpus christi is 2 pounds, which is in centre."
I'm also looking for a hotel in the centre. I don't want to stay in a guesthouse. It needs to be a hotel.,"I can book you at the university arms hotel. It has a 4 star rating, free parking and wifi. Does this interest you?"
Yes. That would be great.,What will be the first day you will stay and how long will you be staying?
I'm looking for a hotel that includes free wifi and free parking.,"There are definitely lots of places that provide complimentary parking and wifi. Do you prefer any particular part of town, or are you looking for a certain price range?"
I would like a hotel in the centre and it should be in the cheap price range.,I don't have any hotels that meet your criteria but I do have two guesthouses available? Would that be okay?
"Yes, that would be fine. What are the names of the two guesthouses?",One id alexander bed and breakfast and the other is el shaddai.
What star ratings are they?,Alexander bed and breakfast is 4 stars and el shaddai is 0 stars.
Okay may I please have the phone number for Alexander bed and breakfast?,Of course! The telephone number for Alexander Bed and Breakfast is 01223525725.
Thank you! I'm also looking for a train for saturday.,"Okay. Would you like to narrow it down by departure site, destination, or arrival time?"
Can you help me find a place to stay that's four stars and has free wifi?,Twenty one accomodations meet your needs. What part of town are you planning to stay in?
That doesn't matter as long as it's cheap.,There are 21 places in that criteria. What area of town? Or perhaps a need for free parking?
"It doesn't matter. Like I told you, it just needs to be a cheap 4 star place with free wifi.",The Alexander bed and breakfast is the best option.
Okay I would like to make a booking for 5 people and 4 nights starting from wednesday.,Will you needing a reference number?
"Yes, of course.",Booking was successful. Reference number is : JVC5MSAV . anything else today?
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?,"sure, i have their information. what would you like to know?"
"Ah, I just wanted to know it was still open. Could you book me a room?","Sure, what day would you like it for?"
3 nights starting from friday.,A reservation for 1 person?
"No, I would like it for 4 people.",Booking was successful. Reference number is : CRLJAWX3 .
I also need to find an Indian restaurant in the east please.,"There are a few Indian restaurants in the east, do you have a price range you are trying to stick to?"
In the mid-range would be fine.,Rajmahal is a moderately priced Indian restaurant. How many people will be dining?
I need a place to eat that is expensive.,I've found 57 restaurants that match your request. Is there a particular area you'd like to dine in?
"In the centre, please.","There are 33 restaurants in that area, do you have a preference of the type of restaurant?"
i want something with malaysian food.,"I am sorry I have no listings for malaysian food,another type?"
I actually just need an expensive place to dine in the Centre of town.,Kymmoy offers Asian Oriental food. Would you like to book a table there?
Yes please. Can you book that for 8 people on Saturday at 15:30?,Sure thing. I will work on getting this booked and be right back with you.
"Okay, thank you.",you are welcome
"If Saturday fails, try Monday and provide the reference number. Also looking for a guesthouse in the same area with internet. Provide starts and address please.",Your restaurant booking was successful. This is the reference number PQA4WKNF . It is for Saturday at 15:30 for 8 people.
"Hello, I'm looking for a place to stay in town. I'd like a place with free parking and a 2 star rating, please.",Ashley hotel is in the north part of town and has a 2 star rating and parking.
Is it a hotel or guesthouse?,The Ashley is a hotel. It's on the north end of town. Would you like to make a reservation here or should we keep looking?
I need a train on Tuesday that arrives by 16:45.,"Certainly, where is your place of departure and arrival?"
I want to depart from London and arrive in Cambridge.,london kings cross or london liverpool street?
london liverpool street.,I have train TR1395 that leaves at 13:39 and will arrive in Cambridge by 15:07. Would that work for you? I would be happy to book your ticket.
I'm hoping to book a train from bishops stortford to cambridge. Please list all times for that route.,There's a total of 70 trains. Is there a particular time of day you would like to travel?
I need to leave Wednesday and arrive after 11:15.,Thanks for that information. What time you would like to leave?
I would like to leave after 11:15.,Unfortunately there are no trains meeting your criteria. Would you like me to look up another departure and arrival time?
"no, i want that day and time please",The TR0516 leaves Cambridge at 11:29 on Wednesday. Will that work for you?
"Well, I need to know the arrival time first.",Arrival time is 12:07 does that work for you?
Hi! I'm looking for a train to Norwich on Saturday.,What is your departure site and time?
From Cambridge and I want to arrive by 20:30.,I have a train that would leave at 18:36 and arrive by 19:55. It's 79 minutes long and costs 14.08 pounds. Would you like me to book it?
"Yes please, book it for 7 people.",All booked and ready to go! The reference number is RJVNE0PT .
I am also looking for a place to stay. Can you find a 1 star hotel for me that is a guesthouse?,"Unfortunately, there are no guesthouses that meet that criteria. In the area, there are 24 guesthouses, some of them cheap, some expensive. Can you narrow down your choices?"
"If there are no 1 star guesthouses, please find me the cheapest one that includes free wifi.",Alexander bed and breakfast is a 4 star cheap guesthouse with free interenet and parking located in the centre. Does that work for you?
Can you help me in finding a suitable guesthouse please?,There are 24 guest houses available. Is there a particular area of the city you'd prefer to stay in?
"Yes, I'd like to stay in the centre of town please.",I have two options for you. Both offer free wifi and parking. The El Shaddai has no star rating or the Alexander B & B has a 4-star rating.
I'll take the El Shaddai please.,Sure thing. Do you want me to book it for you?
Hi! Would you please help me find a hotel to stay at?,"Certainly, what can I use to narrow down your search?"
"It needs to be 2 star, have free parking and free wifi.",We have 3 results. What area are you interested in staying in? And what price range?
I do not have a preference. Please pick one and get me a booking for 8 people for 3 nights staring from Friday.,I was able to book you at the Ashley Hotel. Your booking was successful. Reference number is : 79F1XIW2 . Is there anything else I can help you with?
i also need a train that should leave after 16:45 destination bishops stortford,I see a departing train leaving at 17:29.
Could you help me find a 0 star hotel?,The cityroomz is a 0 star hotel in the moderate price range. It is in the centre of town. Would you like me to book it for you?
Is the cityroomz a guesthouse? That's what I'm looking for.,"No, Cityroomz is a hotel. The City Center North B&B or the El Shaddai are 0 star guesthouses."
"You know what, the hotel will actually work for me. Can you tell me where Cityroomz is located?",Sure. It's in the centre on Station Road. Anything else?
I'm looking for a hotel called Kirkwood House please.,I've located Kirkwood House. It's a guesthouse in the north. Would you like to book a room?
May I please have the phone number for the hotel?,Absolutely. That number is 01223306283.
I'm also looking for some places to go while I'm in town.,"There is boating, a park, and some swimmingpools in the north. Any preference?"
I would like it to be a museum please.,I'm sorry there are no museums in the north. Would you like me to check a different area?
Can you help me find a place to stay that is expensive and includes free parking?,"Absolutely, what area were you wanting to stay in?"
"Area doesn't really matter, but I would like a 3-star place with internet.",There are two hotels that meet your preferences. I suggest the Gonville Hotel as it's in the city centre.
"Could you give me the address, please?",They are located at gonville place. Would you like to book a room there?
"Nah, not right now. I do need info on a train though. What's the schedule like on Sunday trains leaving cambridge?",I'll be happy to help you with that. Where would you like to travel to?
I would like a guesthouse in the moderate price range. Do you think you could find one for me?,What part of town would you like to stay in?
"I have no preference, but the guesthouse should include free parking.","Acorn guest house meets all your needs, would you like to book that?"
That's perfect. I would like to book it for 1 person. It needs to be for 4 nights beginning Saturday.,"I'm sorry, but the Acorn Guest House doesn't have those dates available. Would you like to try for a different day or shorter stay?"
"Yes, please try booking for 2 nights.",Your booking for 2 nights at the Acorn Guesthouse was a success! Your reference number is R4ES2ZFT . What else can I do for you today?
Are there any attractions to see in town? I'm interested in going to a museum if any exist.,We have 79 museums listed. Would you like a certain area of town?
I am looking for a hotel that gives me free parking and free wifi.,"We have many with those features. Do you have any other preferences to narrow it down, such as price range or location?"
"Oh, I would like a guesthouse that is moderately priced please.","There are many, can I get the area you are looking for to narrow it down a bit?"
I don't care about the area. As long as I can have it booked for 3 people starting on Tuesday for 5 nights.,I have the Arbury Lodge in the North that meets your needs. Would you like me to book a room there?
"Hi, Can you help me find a train from Norwich to Cambridge?",I would be happy to help! What day would you like to travel?
I would like to arrive wednesday at 16:45.,There is a train which departs at 15:16 and arrives at 16:35 would you like me to book that one?
"No need to book it today. I would like the price and travel time if you have it there, though.",The price is 17.60 pounds and travel time is 79 minutes. Can I assist you with anything else today?
I also need a hotel with free parking.,We have 29 hotels that may be what you need. Is there a certain area or price range you are looking for perhaps?
I need a cheap place to eat on the south side of town.,"Great, I have two places to recommend. Nados serves Portuguese and the Lucky Star serves Chinese. Which one do you like?"
"Nados serves Portuguese sounds good can I get a address, food type, and phone number?",The address is Cambridge Leisure Park Clifton Way and the phone number is 01223327908.
Excellent. I also need to find a place to stay while in town. Can you help me find a cheap hotel?,Yes I can help. Will you be staying on the south side as well? Do you have any accommodation requirements? Thanks.
I am looking for a place to stay. The hotel should include free wifi and should be in the type of hotel,There are quite a few hotels that fit that description. Do you have a preference as to area or price range?
I would like something in the east with 2 stars.,It looks like the Express by Holiday Inn Cambridge will work well for you. Would you like me to book that?
Does it have free parking? Can you provide me with the contact details of this hotel?,"Yes, it offers free parking. The phone number is 01223866800."
Can you find me a 3 star hotel in the centre?,The Gonville Hotel meets your requirements. Would you like me to book you a room?
Does it have free wifi? I need wifi.,"Yes, they do offer free internet. Would you like me to make a booking?"
Yes. I want to book it for 1 person. I want to stay for 5 nights starting from Wednesday.,"I am sorry Booking was unsuccessful,can I help you find another place to stay?"
Yes please. Another 3-star hotel in the centre with free wifi.,I do not have another 3 star hotel in the centre that meets your requirements. Would you like to try another area?
I would like to book a train.,What day do you need the train? What is your destination?
I am sorry I mean I want a nightclub to go in the wast side of town.,"Unfortunately, there aren't any in that area. How about another location?"
how about one that is in the type of museum.and make Make sure you get address,Kettle's yard is museum in the west part of town. It is located on castle street.
I also need a moderate priced room.,great! what area of town are you thinking of?
I'd like it to be a guest house in the north.,"okay, I can help you with that. When are you planning your stay?"
I'm not sure yet. I'm really researching right now. Can you please recommend a guesthouse in the north in the moderate price range?,I've got 9 guesthouses in that price range. Do you need internet and/or parking?
I need a train on Tuesday that goes to london kings cross.,There are ten trains on tuesday to that location. What time would you like to depart?
I want to leave by 19:30.,"I have a train leaving Cambridge at 11:00 to go to London Kings Cross by 11:51, TR6925. Does this sound acceptable?"
Well I need it to leave after 19:30 and I would like to make a booking for 5 people on Tuesday and I will need a reference number.,"Booking was successful, the total fee is 118 GBP payable at the station .Reference number is : MMHRON1T ."
i am also looking for information about the hamilton lodge.,The hamilton lodge is a guesthouse in the north area. Would you like a booking?
I need a three star hotel with internet. Can you help?,"I'm sorry, I cannot help you with hotels. Are you sure that's what you're looking for?"
I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.,"The stazione restaurant is an expensive, italian restaurant located in the centre area. Would you like me to make you a booking today?"
"Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?",The booking was successful. Your table will be reserved for 15 minutes and your reference number is TA6XS4CY .
"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.",Okay what kind of attraction are you looking for?
"Anything you'd recommend, as long as it's in the centre.","I recommend the vue cinema, it's got a lot of great features to watch!"
I'm looking for a hotel called city centre north b and b,May I help set a booking for you?
Does the hotel have free parking?,"They offer parking but I am unsure if it is free, but their phone number is 01223312843 if you'd like to call and check with them."
Hmm. Okay. Could you help me find a train? I need to leave on Sunday.,And when would you like to leave by?
I want to leave on Sunday and arrive by 14:00.,Where are you traveling from and to?
I am traveling to cambridge from broxbourne.,TR2939 will leave at 12:01 and arrive at 13:01. Would you like to book this train?
I am look for a hotel near the beach near the main strip,"Sorry, I don't think I can help you there. Can I help with something else?"
I am looking for a particular restaurant called Zizzi Cambridge. Can you tell me what area it is in?,Zizzi is in the centre of town.
"Excellent. Thank you. Also, can you assist me with finding a train for Monday?",Sure! Provide me your itinerary.
"We will be traveling from Cambridge and going to Ely, but it needs to leave after 21:00.",Is there a time you need to arrive by?
I am looking for information about a hotel called the autumn house.,Ok. The autumn house is a guesthouse in the east. Would you like me to book a room?
"Yes, please. I would like a room for 6 people for 2 nights. We'll arrive on Saturday.",You are booked! Reference number is : AS63WLAE .
I am looking for a place to stay.,"Sure. Do you have a preference as to location, price, or amenities?"
"I would like free parking and wifi for sure. Preferably on the west side with 4 stars, too.",I'd suggest Finches Bed and Breakfast. It's a guesthouse in the west area with free internet and parking.
"That sounds wonderful. Could you reserve our rooms? We'll be a party of 8, and we'd like to arrive on Sunday. I think we'll be staying 4 nights.",I have booked Finches Bed & Breakfast for you starting Sunday for 4 nights for 8 people. Your reference number is H7WHFPQT . Is there anything I may assist with?
"Thank you, yes, I'd like to also find a nice park to visit while I'm in town. Can you see if there is one near my hotel?","Unfortunately, I could not find a park in the west. Can I try a different area?"
I'm looking for a cheap place to stay. Can you help?,I have a number of cheap hotels available; do you want to stay in a particular area of town?
I don't care which area the hotel is in.,"Ok, would you prefer a guesthouse or a hotel?"
any so long as it is a 2star and has wifi,I'm sorry I don't have any matches. Do you want me to check a different price range?
"Yes, please try expensive.","I'm sorry, there's not guesthouse fitting THAT description either. Do you want to try a different hotel type or something?"
Try either a hotel or guesthouse.,The express by holiday inn cambridge is a 2 star hotel in the east area that is expensive. It has wifi and parking. Would you like to make a reservation?
Can I get the next train?,I'm afraid our train system seems to be down at the moment. Can I help you find a hotel until it is back up and running?
"No, but I am looking for a nightclub to go to. What ones are there?",There are quite a few in the Centre. I suggest either Club Salsa or Soul Tree Nightclub.
"Club Salsa sounds good. Can I get their phone number, address and postcode please?","You sure may. The address is 1 Station Road, CB12JB. The phone number is 07782218745. Is there anything else I may help you with?"
"I'm looking for a hotel, is that something you help with?","There are 33 hotels, is there a specific area you are looking for?"
"I'm looking for somewhere classy and expensive, where they don't skimp on amenities like free wifi. Are there any like that?",We have five hotels that meet that criteria. Are you looking for one in a particular area?
Are any of them guesthouses? I would prefer a guesthouse.,"No, they're all hotels. Would you like me to try a different price range?"
"Yes please, could you try finding me a guesthouse in a moderate price range?",There are no expensive guest houses.
I would settle for a moderate price ranged one.,There are some in the north and one in the east. Does either option sound better?
Can you book a hotel for me? I would like a 3 star hotel or greater in downtown Cambridge for tonight for 2 people.,"There is one called the Gonville Hotel, but it's expensive. Is this alright?"
yes that would be fine. Are there any colleges in the centre that we can also visit? And may I have the address please?,"There are four in the area that are free and one that has a fee of 2 pounds, would you like more information?"
"Sure, which one would you recommend of the free ones?","I would recommend Saint Catherine's College located at King's Parade, postcode cb23rl."
"Thank you, I actually need a guesthouse with free parking.","Thank you for clarifying that you need a guest house. So that I might best find the right place for you, could you restate any other needs with regards to lodgings?"
I need free parking in the moderate pricerange.,"Unfortunately, I do not have any 3-star rated guesthouses that are moderately priced and in the centre with free parking. Would you like to change any criteria?"
i am looking for information in Cambridge.,I can certainly help you with that! What do you want to know?
I'd like to stay at a guesthouse that offers free wifi.,"Do you have a price range or area preference? Because if not, how about a and b guest house located in the east and moderately priced."
I'd like to find out more about expensive restaurants in the city centre.,they are many. what is your prefered food type?
"Are there any restaurants that serve French food? If so, I will need the phone number to the restaurant.",yes cote does. can i give you their contact?
Yes please. I did state that I wanted the phone number.,The number for Cote is 01223311053. Is there anything else I can do for you?
"Can you give me some information on a hotel called holiday inn Cambridge, please?","The Express by Holiday Inn Cambridge is an expensive, 2-star hotel in the east. They're located at 15-17 norman way, coldhams business park. Can I book a room for you?"
I need a list of cheap places to stay that include free parking.,Alexander bed and breakfast is in the cheap price range in the centre of town.
"Okay, does that place include free wifi and it is 4 stars?","Yes, the Alexander has free wifi and is a 4 star hotel. How many nights will you be staying?"
I will be staying 5 nights starting from Saturday.,Thank you so much for that information. How many people in your party so I can make the booking for you?
"Hi, I am planning a trip and need some suggestions. I am looking for places to go in town.",Can I ask you some questions about the types of places you want to go while you're in Cambridge?
The attraction should be in the centre and should be in the type of cinema.,"The Vue Cineme is in the Grafton Centre, on East Road. Do you need any more information?"
What is the postcode for The Vue Cineme?,The postcode is cb11ps. Is there anything else I can help you with?
"Yes, I'd also like to find a moderately-priced guesthouse on the west side, if possible. I do need free wifi.",I have one place.Shall I book it?
"Sure, I'll be coming in on Sunday with one other person. We'll be staying for 3 nights.",Okay. Your booking was successful. The reference number is UOE033DZ . Can I help with anything else today?
Can you book me a taxi to get me from the cinema to the hotel?,"Absolutely, when did you want to leave?"
