question,answer
"Yes, any suggestions of museums found in the east area of town?","Yes, Gallery at Twelve a High Street is excellent, and has free admission. Would you like more information?"
"I want to find an expensive restaurant and serves european food. Can i also have the address, phone number and its area. ?",Eraina is a European restaurant in the centre area. Their address is St. Michael's Church Trinity Street City Centre and phone number 01223 355166.
Where's a good place to eat crossover food in Cambridge?,There are no crossover locations in Cambridge.
How about British restaurants in the Centre instead?,I have 7 in the centre that serve british food. I have 4 in the moderate price range and 3 in the expensive. Did you have a preference?
I would prefer the british food.,I have cotto that serves moderate priced food. Would you like to book a table?
Yes please make a booking for 8 people at 12:30 on friday.,I have made your booking here is the information:Booking was successful. The table will be reserved for 15 minutes. Reference number is : VVSOH0TQ .
I want a restaurant in the north of Cambridge that is within a moderate price range.,"There are two restaurants fitting your description, one is Chinese cuisine and one is Indian cuisine. Do you have a preference?"
Please book a table for 4 at the Chinese place at 12:30 on Sunday and give me the reference number.,Okay you're all set for Sunday at 12:30. Your reference number is F5BTP63A . Can I help you find anything else?
I am also looking for a train that goes to broxbourne on monday.,There are 19 trains to broxbourne on Monday leaving every hour starting at 05:01. Is there a specific time you'd like?
I would like to arrive in broxbourne by 13:00.,The one arriving closest to 13:00 is TR5971 leaving cambridge at 11:01 and arrives by 12:01 in broxbourne. Would you like to book a ticket?
Find me a train that leaves on Sunday after 14:00 please,Certainly. Where are you headed?
I am leaving norwich going to cambridge on sunday and I need a train that leaves the station any time after 14:00,"TR5234 will leave at 14:16, would that work for you?"
Yes. Give me the ref number please.,In order to get a ref number I must complete a booking first. How many tickets would you like me to book for you?
I would like one train ticket please.,Your reservation for 1 ticket on the TR5234 train was successful. Your Reference number is : PGQKG62W . Is there anything else I can do for you?
Can you help me book a table at a chinese restaurant that's in the centre of town?,Great choice! I have 10 Chinese restaurants. What is your price range and we can narrow them down.
"I need some cheap Chop Suey, please.",How does the Charlie Chan sound? It is a cheap Chinese restaurant in the centre.
That sounds like they'll have some awesome Chop Suey. Please book me a table for 2 on Tuesday at 12:45.,"I am sorry but charlie chan is booked for that time. Do you want to pick an earlier or later time, or a different day?"
"Can we try the same day for 11:45 please? And can I have the reference number as well, thanks.",Great News! I was able to reserve your table for 2 at the 11:45 time. They will hold the table for 15 minutes. Reference number is : GFIL3UG5 .
Thank you. I am also looking for places to go in the same area as the restaurant.,There are dozens of attractions in the centre. What type of activities are you interested in? Museums? Architecture? Boat Rides? Something else?
"I am looking for some type of entertainment in the same area as the restaurant, please.",There are all kinds of entertainment choices. Did you have something in mind?
I am looking for a restaurant that is in the expensive price range and in the south part of town.,"There are results matching your query. Would you like Mexican, Italian, Chinese, or Indian?"
Let's go with Italian food.,Frankie and Bennys is an expensive Italian eatery in the south part of town. Would you like any additional information about this restaurant?
Can you help me find an expensive Chinese food restaurant?,What area would you like? There are nine results.
I'm interested in restaurants located in the East.,"Okay, Yu Garden matches your specifications. Would you like me to book a reservation?"
"Yeah, could you book it for 8 people on Monday? I think 16:15 is when we want to be seated.","The booking went through, your table is reserved for 15 minutes starting at 16:15. Reference number is BT75STQI ."
Thanks! I'm also looking for a hotel near that restaurant.,"I would recommend the Express by Holiday Inn Cambridge, should I book it for you?"
"I'm looking to go to dinner tonight and am in the mood for some good Bistro in the centre of town, can you find me some options?",I'm sorry. There is no matching restaurant. Would you like to try a different food type or area?
Hmm... let me think. Let's try maybe something italian instead.,There are nine Italian restaurants in the centre of town! Are you looking for an Italian restaurant in any particular price range?
I am looking for a particular restaurant. Its name is called travellers rest,It is an expensive British restaurant on the west side of town. Would you like the address?
"Heya, can you find me an expensive restaurant with north african food?",I actually cannot find any expensive restaurants with north african food. There is however an expensive restaurant with african food. Would that be okay?
Are there any expensive restaurants with gastropub food?,"Yes, I have 3. Two are located in the centre and one is located in the east. Do you have a preference?"
"Yes, the one in the east please.",One in the East is called Royal Standard. Can I book a table for you?
I am looking for a restaurant.,Is there a price range or type of food that you would prefer?
"Not sure of that, I am looking for a restaurant named ""ask.""",That is an Italian restaurant located in the centre of town. It is at 12 Bridge Street. Can I call and reserve a table for you?
I would like to book a table for 5 people on Sunday at 14:15,I am afraid that booking was unsuccessful. Would you like to try another restaurant?
"Hi, what can you tell me about the bangkok city restaurant?",Sure! It serves Thai food and is located in the centre. Would you like to book it?
Yes for 2 at 19:30 on Sunday please. I need the reference number then too.,I've booked that for you and your reference number is X4W3U0LM .
I'd also need a train leaving the centre going to kings lynn and arriving by 17:00 on monday.,I can certainly help with that. Could you just verify your departure point for me?
"Yes, it should depart from Cambridge.",the earliest arrives by 17.58
"Ok, I think that should be fine. Can you make a booking for me?","sorry, the arrival time is actually 16:58. how many tickets would you like?"
Please find me a place to dine that's expensive and in the centre.,Fitzbillies restaurant is expensive in the centre of town. Would you like to try that?
I am looking for Thai food.,we have bankok city. it is located in 24 green street centre. can i give you the phone number?
Ok great. Can you reserve a table there for Thursday for 5 people at 15:00 please?,it was successful. Reference number is : AKNPF1IH .
Thank you for your help.,Your very welcome. Can I help you with anything else today?
I'm looking for a particular restaurant called ask. Please give me information on that restaurant.,"Ask is an italian place in the centre area, they are in the cheap price range. Can I help with anything else?"
"Yes, I'd like to book a table for 1 at 17:15 on Wednesday. Can you do that?","I was able to book that table for you. Your reference number should you need it, is DFEBH5D1 .Can I help with anything else?"
"Hey, I'm up south can you give me a place to eat?",What kind of food would you like?
Don't care.,I recommend Chiquito Restaurant Bar
I will be staying in Cambridge. I need a hotel with wifi.,What about a and b guest house? It's in the East.
I need something in the centre.,There are 7 hotels which area do you prefer?
The north part of town,"I ran a search in the north, there's 12 choices. Lets make sure were on the same page, is this the area that you want? Also hotel or Guesthouse?"
"Sorry, I've been all over the place. To be clear, I need a hotel with free wifi and parking that is in the centre.","Shall I choose a hotel for you, or do you have a preference? 4 hotels have free parking and internet in that area."
"yes please recommend one. the booking is needed for saturday. 3 nights, 6 people","May I recommend alexander bed and breakfast. While it is a cheap guesthouse in the centre of town, it has a 4 star rating and also included internet and parking"
Can you assist me in finding me an Expensive Restaurant in Cambridge where I can dine? The restaurant should be serving British foods.,"sure, i have 6 options for you"
I'd like it to be in Centre.,I would suggest midsummer house restaurant it has great food.
Can you make me a reservation for Saturday please for 3 people?,What time would you like to dine on Saturday?
We will be dining at 16:30. Please book a table for 3 on Saturday and provide the reference number. I also need a hotel in the same area.,"Alright, I have your restaurant booking. Your reference number is: DHDB0H4V . What are you looking for in a hotel, so I can narrow down the choices?"
Something in the same area as the restaurant. It should also be in that same price range.,I've got two expensive hotels in the area. Both have internet and parking. university arms hotel has 4 stars. Does that meet your needs?
"Yes, that should be perfect thank you.","Would you like me to book you a room? If so, i will need how many people and nights you will be staying and on what day."
"I would like a room for three people, just for Saturday night.",The booking was successful I have a reference number and the hotel number for you.
I am looking for information in Cambridge. I need a place to dine.,"Sure, do you have a type of food you are wanting?"
Crossover food would be perfect.,"Unfortunately, there aren't any crossover restaurants in Cambridge. Is there something else you'd like to try?"
Is there a gastropub in Centre?,"Yes, I have two that are expensive and one that is moderately priced. Do you have a preference?"
Let's go with the moderately priced option. Can I please have the phone number?,"In the moderate price range, I have one place. It's called the Cow Pizza Kitchen and Bar. It's located on Corn Exchange Street. Do you need a reservation?"
"Not right now, but I am looking for a place to stay. Are there any 5-star accommodations in Cambridge?","I'm sorry, there are no 5-star accommodations anywhere in Cambridge. There are many 4-star options. Would you like to try one of those?"
Do you have one with free parking,Yes the allenbell does.
I'm looking for a place to eat. I would like it to be an expensive restaurant in the centre.,I found 33 expensive restaurants in the centre. What type of cuisine would you like?
I'm looking for a restaurant with mediterranean food.,"I have found two restaurants. One is La mimosa, and the other is Shiraz restaurant, would you like me to book one for you?"
Please book the One is La mimosa,"Can I please get the number of people dining,day,and time please."
"I need a hotel with free wifi and free parking, thank you",Allenbell is cheap and has free internet.
I'm looking for something in the moderate price range actually.,Archway House is a moderately priced 4 star hotel in the North. Would you like to make a reservation?
Yes please book the Archway House.,"I'd be happy to book for you. How many people will be staying, what is your arrival day, and how many nights are you staying?"
I will be arriving on tuesday and I need to book the room for four nights for three people.,Ok. I've booked that guesthouse for you. Your reference number is YBT4JRTR . Can I help with anything else?
"Yes, I would also l like to find a splendid, moderately-priced place to dine in the centre. That would be just wonderful if you could help me out with that!",There are several moderately priced restaurant in the centre area. Would you like a certain type of food?
"Hi, I need a moderate price range restaurant in the centre of town.",There are 21 restaurants that are moderately priced in the centre of town. Do you have a food preference?
British or European would be fine. May I book a table for 2 at 16:00 on a Wednesday and get a reference number please?,"The oak bistro is a British restaurant in the centre area, in the moderate price range. Would you like to book this restaurant?"
Yes. The booking should be for 2 on wednesday at 16:00. Could I also get a reference number?,"Alright, you're all booked! Your reference number is YWEKSO7H . Is there anything else I can help you with?"
I'm also looking for a place to visit within the same area as the restaurant. Do you have any recommendations?,"We have parks, boats, museums, and many other interesting things to do. What strikes your fancy?"
We will be on the west side of town and would like to find a place to eat while there.,What type of cuisine would you be looking for?
I want some Scottish food.,There are none in the area. Another type or area perhaps?
"Yeah, can you check the south please?",There are no restaurants in that area.
What a bummer. Find me a restaurant that serves British food on the West please.,There are 3 restaurants in that area that serve British food. Is there a particular price range your looking for?
Let's find me an expensiove place to eat in the centre,sure i have 33 options for you
"How about you pick one and reserve a table for 5 on sunday at 11:45, and I'll need that reference number too.",Sure! I've booked you at Fitzbillies at 11:45 on Sunday for 5. Your reference number is Y5EX13L7 . Is there anything else I can help you with?
Great can you also help me get a train? I'm looking to go to ely and arrive by 21:30,On what day will you be leaving?
I will be leaving on Monday,TR5484 leaves at 13:50 and costs 4.40 pounds. is that fine with you?
I would like to eat in the Center of town at a expensive place.,"For Town Centre, there are African, Asian Oriental, and British options. Which of these would you prefer?"
How about African? I'd like to book a table for 7 at 16:15 on Tuesday.,I have booked a table at bedouin African restaurant for 7 people at 16:15 tuesday. Your reference number is VAZCWIS6 . May I help with anything else?
I don't know if this is possible but can you please get me some information on the alexander bed and breakfast?,"sure, i have their information. what would you like to know?"
"Ah, I just wanted to know it was still open. Could you book me a room?","Sure, what day would you like it for?"
3 nights starting from friday.,A reservation for 1 person?
"No, I would like it for 4 people.",Booking was successful. Reference number is : CRLJAWX3 .
I also need to find an Indian restaurant in the east please.,"There are a few Indian restaurants in the east, do you have a price range you are trying to stick to?"
In the mid-range would be fine.,Rajmahal is a moderately priced Indian restaurant. How many people will be dining?
I need a place to eat that is expensive.,I've found 57 restaurants that match your request. Is there a particular area you'd like to dine in?
"In the centre, please.","There are 33 restaurants in that area, do you have a preference of the type of restaurant?"
i want something with malaysian food.,"I am sorry I have no listings for malaysian food,another type?"
I actually just need an expensive place to dine in the Centre of town.,Kymmoy offers Asian Oriental food. Would you like to book a table there?
Yes please. Can you book that for 8 people on Saturday at 15:30?,Sure thing. I will work on getting this booked and be right back with you.
"Okay, thank you.",you are welcome
"If Saturday fails, try Monday and provide the reference number. Also looking for a guesthouse in the same area with internet. Provide starts and address please.",Your restaurant booking was successful. This is the reference number PQA4WKNF . It is for Saturday at 15:30 for 8 people.
"Hi, I am planning a trip and could use some help with a particular attraction.","Okay, sounds good. What attraction are you thinking about?"
I'm looking for Milton Country Park.,I have found it what types of information can I get you on it?
"Can I get the attraction type, entrance fee, and postcode please?",It's a Park and there's no entrance fee. It's free for all. The postcode is cb46az. How can I be of further assistance today?
I'm also looking for a great Italian restaurant on the east side of town that you would recommend.,I would suggest pizza hut fen ditton
"Hi, I want a moderately priced restaurant located in the south part of town.",Pizza hut cherry hinton is in the south part of town and in the moderate price range. Would you like their location?
address and postcode please,"Their address is G4 Cambridge Leisure Park Clifton Way Cherry Hinton and their postcode is C.B 1, 7 D.Y. Is there anything else I can do for you today?"
I would like inexpensive Turkish food.,I'm sorry I do not show anything available. Would you like to try something else?
"Ok, how about an Italian restaurant?",There are 5 listings matching your criteria. Do you have a preference on the area?
I do not have a preference of area as long as it's cheap. Please make a suggestion.,"Ask is an Italian restaurant in the cheap priced category, and is the centre of town."
I would like a restaurant that serves world food,"Im sorry, there are no restaurants that serve world food. Can I help you with something else?"
How about portuguese food?,Nandos serves Portuguese and is located in the south part of town and is in the cheap price range.
Can you find me an expensive restaurant in the north?,There are five expensive places to dine in the North. Would you like to try asian oriental cuisine?
Yes. That's exactly what I'm looking for.,Saigon City at 169 High Street Chesterton fits the description. Shall I make a reservation for you?
"Yes, please. Can you make a reservation for 7 people at 12:30 on a Tuesday? Thanks",I made a reservation for you at Saigon City for a party of 7 on Tuesday at 12:30. Your reference is N2FHZ30Y . Is there anything else I can help you with?
Wonderful. I'm also looking for a cool place to check out in the same area.,"There are 79 attractions, would you like to try cineworld cinema?"
I need a South restaurant with british food.,I'm sorry but I cannot find any british food located in the south part of town.
Is there a chinese restaurant in the south part of town?,I've found three Chinese restaurants in the south part of town. Does price range matter to you?
Are you able to find me a french expensive restaurant?,"There are 2 expensive French restaurants. Restaurant Two Two, and Cote. Which would you like to book?"
"I like the sound of Restaurant Two Two, could you give me their postcode, address and phone number?","Restaurant Two Two is located at 22 Chesterton Road, Chesterton. Their postcode is cb43ax. You can reach them at 01223351880. Any other information I can provide?"
I want to know where I can go in the town centre of Cambridge.,There are many places to go in the centre. Are you looking for an attraction or restaurant?
"An attraction of any type would be fine as long as it's in the centre, please.",I could recommend old schools. It is architecture and free to see. Would you like more information?
Yes tell me one of those recommendations.,Old Schools is an architectural attraction on Trinity Lane that has no entrance fee. Their phone number is 01223332320. Can I help you with anything else?
Can you provide me the full address including postal code? Thanks.,The address listed for Old Schools is simply Trinity Lane. And their postcode is cb21tt. Is there anything more I can do for you today?
"Yes, I would also like to find an expensive restaurant in the same area.",What kind of food would you like and what price range
"Good morning, I need help finding a restaurant that serves bistro in the moderate price range.",I couldn't find a restaurant with the attributes you are looking for. Would you like something else?
How about one with british food?,There are 5 restaurants serving british food. Do you have a preferred area?
I do not have a preferred area. Which ones have a table available for 6 people at 12:30 on Tuesday?,Is there a price range you would prefer to stay within?
No I do not need to stay within a price.,I have Restaurant One Seven in the moderate price range. Would you like me to book a reservation?
Can you help me find a moderately priced place to eat located in the centre?,"Certainly, there are many restaurants that fit that criteria. Do you have a food type preference?"
"Yes, do any serve international food?",I have 2. The varsity restaurant and bloomsberry. Both serve international food and are in the moderate price range. Do you have a preference?
Can you check to see if either has booking for 5 people at 17:15 on monday?,Neither are available at that time. Would you like to try a different time?
I want to find an expensive restaurant in the centre of town.,"The cambridge chop house serves british food, it is in the centre of town and is in the expensive price range."
"Great, what is the postcode and phone number?",The postcode is cb21sj and the phone number is 01223359506.
I also need a train from Cambridge to Stansted Airport. Can you please look that up for me.,i got 5 choices. what time do you want to leave?
What are my options for cheap restaurants in the city center?,There are 15 options to choose from. Is there a particular style of food you would like?
I don't have a style preference.,Well how about Asian oriental? I have several good but cheap options.
Is there any place here in the centre that serves corsica food?,What price range are you looking for?
Any price range will do.,"There are no restaurants available matching your criteria. Would you like to try a different area, price range, or food type?"
Are there any restaurants in the centre that serves North American type of food?,Yes. The gourmet burger kitchen serves north american food and is located in the centre part of the city. Would you like their location?
I need a cheap place to eat on the south side of town.,"Great, I have two places to recommend. Nados serves Portuguese and the Lucky Star serves Chinese. Which one do you like?"
"Nados serves Portuguese sounds good can I get a address, food type, and phone number?",The address is Cambridge Leisure Park Clifton Way and the phone number is 01223327908.
Excellent. I also need to find a place to stay while in town. Can you help me find a cheap hotel?,Yes I can help. Will you be staying on the south side as well? Do you have any accommodation requirements? Thanks.
I am looking for a cheap restaurant that serves Scandinavian food,No results for your query have been found. Would you like to try again?
Are there any cheap restaurants that serve Italian food?,"Yes, there are five options for cheap Italian food. Three are located in the centre of town, one in the north, and one in the west part of town. Do you have a preference on area?"
I'm looking for some place to go in the town centre. Something sports related.,I am sorry but I have nothing in that area for sports. Would you like to try another area or attraction today?
"OK, are there any colleges in the center of town?","There are 13 colleges in the centre area. Christ's College and Downing College are two of these, would you like some more information on one of these?"
"Yes, Christ's College. What is the entrance fee for that college?","I'm sorry, I cannot look up the entry fee to Christ's College. Is there anything else I can do for you today?"
I also need a restaurant in the same area.,"Sure, there are many nearby, do you have a type of cuisine you are looking for or a price range to look at?"
I'm looking for a restaurant that serves international food.,There are three international restaurants in Cambridge. Do you have a price preference?
I would like to find a moderately priced place and I need a reservation for 4 people at 12:15 on a Thursday.,Okay I have the Bloomsbury and the Varsity restaurants. But I was unable to reserve either. Is there another time that would suit you?
"Yes, could you make it for 11:15, and can you give me the reference number?","Alright, I have booked you a table for 11:15 at the varsity restaurant. Your reference number is HM90EAET . Is there anything else I can help you with?"
"I am looking for some entertainment, do you know anywhere I could go in the centre of town?",Unfortunately I don't see anything entertainment related in the centre of town. How about another area of the city?
That's fine. I'd like to know about museums in the area instead.,"Fantastic, there are 11 museums in the centre. Can I recommend the Fitzwilliam Museum, if you don't have a preference?"
Fitzwilliam Museum sounds great. What is the postcode?,The postcode is cb21rb.
I need a three star hotel with internet. Can you help?,"I'm sorry, I cannot help you with hotels. Are you sure that's what you're looking for?"
I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.,"The stazione restaurant is an expensive, italian restaurant located in the centre area. Would you like me to make you a booking today?"
"Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?",The booking was successful. Your table will be reserved for 15 minutes and your reference number is TA6XS4CY .
"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.",Okay what kind of attraction are you looking for?
"Anything you'd recommend, as long as it's in the centre.","I recommend the vue cinema, it's got a lot of great features to watch!"
I am look for a hotel near the beach near the main strip,"Sorry, I don't think I can help you there. Can I help with something else?"
I am looking for a particular restaurant called Zizzi Cambridge. Can you tell me what area it is in?,Zizzi is in the centre of town.
"Excellent. Thank you. Also, can you assist me with finding a train for Monday?",Sure! Provide me your itinerary.
"We will be traveling from Cambridge and going to Ely, but it needs to leave after 21:00.",Is there a time you need to arrive by?
I'm looking for an expensive restaurant in the south part of town,Taj Tandoori is an expensive Indian restaurant in the South. Would you like more information on them?
Is there anything else?,Yes. chiquito restaurant bar serves mexican food in the expensive price range and is located in the south part of town.
i need a train going to leicester that leaves after 11:45,"Sure, are you going to leicester, or to cambridge? What is your departure site please?"
"I will be departing leicester going to cambridge, sorry for the confusion. I need to leave after 11:45 also.",The earliest train leaving after 11:45 is at 12:09 on friday. Would you like me to book this for you?
That is fine. Can I have the train ID once it's booked?,"Of course, what day will you be traveling, and how many people will be in your party?"
I need 1 ticket for departure on Thursday.,Great. I have booked you one seat on the 12:09 train from Leicester and your reference number is 7UR3BFW6 . Is there anything else I can do for you?
I need a train to Cambridge please. I plan to leave out on Tuesday,"Sure, no problem. Where are you heading in from?"
I am leaving peterborough.,What time do you need to travel?
I need to leave after 14:15,"TR9964 departs peterborough at 14:19, or there is also a later one that leaves at 14:48. Do either of these suit your needs?"
"I want to find a restaurant in the east part of town. It serves chinese food. What is the address, phone number, and postcode?","Yu Garden is a Chinese restaurant in the east part of town. Their address is 529 Newmarket Road Fen Ditton, phone number 01223 248882 and postcode C.B 5, 8 P.A."
Is there anything interesting to see in the centre of town?,"In addition to architecture, colleges, and museums, we also have boat attractions, nightclubs, and theatres in the centre."
I would be interested in seeing some interesting architecture.,"There are a few places, mainly churches, that have great architecture. Do you want information on any of those?"
"No thank you though. I would like information on greek restaurants that would be in the same area as the churches you suggested, please?",there is no greek restaurant in the centre. can we change the location?
"Well, how about African food?",Bedouin is an expensive serving african food in the centre of town.
"That sounds good, can you book 2 people at 13:30 on Tuesday.",Booking was successful. Reference number is : IA596HSH . Is there anything else I can do for you?
"Yes, I'll also need a taxi to commute between the two places. I'll need to be at the restaurant by 13:30, of course.",Okay and where do you need the taxi to pick you up?
I'm looking for a cheap place to stay. Can you help?,I have a number of cheap hotels available; do you want to stay in a particular area of town?
I don't care which area the hotel is in.,"Ok, would you prefer a guesthouse or a hotel?"
any so long as it is a 2star and has wifi,I'm sorry I don't have any matches. Do you want me to check a different price range?
"Yes, please try expensive.","I'm sorry, there's not guesthouse fitting THAT description either. Do you want to try a different hotel type or something?"
Try either a hotel or guesthouse.,The express by holiday inn cambridge is a 2 star hotel in the east area that is expensive. It has wifi and parking. Would you like to make a reservation?
I'd like to find out more about expensive restaurants in the city centre.,they are many. what is your prefered food type?
"Are there any restaurants that serve French food? If so, I will need the phone number to the restaurant.",yes cote does. can i give you their contact?
Yes please. I did state that I wanted the phone number.,The number for Cote is 01223311053. Is there anything else I can do for you?
"Can you give me some information on a hotel called holiday inn Cambridge, please?","The Express by Holiday Inn Cambridge is an expensive, 2-star hotel in the east. They're located at 15-17 norman way, coldhams business park. Can I book a room for you?"
I want to eat at an expensive gastropub restaurant,"There are two gastropub's in the centre of town in the expensive price range, would you like me to book one?"
"Yeah, I need a reservation for 4 people on saturday at 12:30 please",Would you like me to book your reservation in the centre of town or east?
I need a place to eat in the centre of town.,"There are a lot of restaurants to choose from in the centre, what type of food do you want to eat?"
Can you please search for indian food.,I have many choices in the city center. Are you looking for something expensive or cheap?
I want something expensive.,How about Curry Garden on Regent Street?
That would be fine. I would like reservations on wednesday for 3 people at 18:15.,The curry garden will be expecting your party on Wednesday at 18:15. Your reference is 925W0ZE2 . Is there anything else I can do for you today?
Yes. I also need a 4 star hotel.,There are 21 4 star options. Do you need internet or parking?
"Parking doesn't matter, but I want it to be in the same area as the restaurant.",There are two 4 star choices in the centre. A cheap guesthouse as well as an expensive hotel. Would you like to book one today?
I need to find a place to eat in the centre of Cambridge.,There are dozens of places to eat in the north. What kind of food are you interested in?
I'd like something that serves modern European.,"There are four choices available that range from cheap to expensive, what is your preference with price?"
Great can you book one for 2 people at 16:00 on monday please?,"Ok, I have a reservation for 2 at de luca cucina and bar on Monday at 16:00. The reference number is: HC9L602O ."
I am also looking for a train for Monday departing birmingham new street.,It looks like there are trains running hourly from 5:40. Did you have a time of day in mind?
I'm looking to arrive in cambridge by 10:15.,The TR7853 gets you to Cambridge about 09:23. Would you like that one?
I want something that's moderately priced. Any type of food.,What area would you like?
"I would like the north part of town, please.",Golden Wok serves Chinese food. Would you like their address and phone number?
I am looking for a cheap restaurant.,There are several cheap restaurants located in the centre part of town.
Do any serve spanish food?,"Yes, La Raza serves Spanish food. Would you like their phone number?"
I'm looking to get some info about a hotel called Home from Home,Home from Home is located at 78-80 Milton Rd. It's a 4 star hotel in the north part of town. Phone is 01223323555.
"Yes, can you please book a room for me for 4 people for 5 nights starting on Thursday.",Yes your booking was successful and your reference number is Z7XFCSHU .
I am also looking for an Indian restaurant that is located in the centre?,there is curry garden as well as eight other options for you.
I am looking for a restaurant in the centre of town.,There are 69 restaurants in the centre. Is there a specific type of cuisine or price range you are looking for?
"I am looking for an expensive restaurant in the centre, type of food does not matter but I need a table for 7 people for Tuesday at 13:15.",Unfortunately there is no vacancy on that day at that time. Can we try another day or time?
Could we try for Tuesday at 12:15 please.,"I made a reservation at Bedouin, an African restaurant, for 7 people on Tuesday at 12:15. Your reservation number is PN95JSUF . Is there anything else?"
"Yes, I'm looking for a particular attraction called Whale of a Time. Do you have any information on it?","Yes, Whale of a Time is located in the west part of town, phone number is 01954781018. Any other questions?"
I'd like to find out more about taking a tour of Trinity College.,"I do not have information about tours, would you like the phone number for Trinity College?"
"Actually, can you tell me what type of attraction it is? My friend suggested it and mentioned the name, but not much else.",It is a college located on trinity street. The entrance fee is 1 pound. May I help you with anything else today?
"Yes, I'd like to find a restaurant in the centre of town.",Of course. There are many restaurants in the area. Is there a food type you're interested in?
I would chinese please.,Is there a price range you'd like to stay in?
"Yeah, I'd like a moderately priced restaurant. And type of food doesn't actually matter. Just somewhere moderately priced in the centre of town.","May I suggest Jinling Noodle Bar, they have excellent food moderately priced. Would you like a reservation?"
"Hi, I need a hotel on the west side, please.","We have a couple options available to you, is there a particular price range you are looking for?"
"I don't care about price range, but I do want the hotel to have a 4 star rating and have free wifi.","I have the Huntingdon Marriott that is more expensive. Also, the Cambridge Belfry that is cheap. Do you have a preference?"
Can you tell me their post codes?,Huntingdon marriott post code is pe296fl and the cambridge belfry postcode is cb236bw. Anything else I can assist you with today?
No. Thank you. Goodbye.,You're welcome. Have a wonderful day!
I also need information on the maharajah tandoor restaurant please.,It is an expensive restaurant in the west area serving indian food. Would you like me to book it for you?
I'm looking for an expensive restaurant in the center of town.,"There are many expensive restaurants in the centre of town, is there a specific type of food you would like?"
Is there any Turkish cuisine? If so I need the postcode and the address.,The Meze Bar restaurant matches your tastes. It is located at 196 Mill Road City Centre. The postcode is cb13nf.
