question,answer
I would like a guesthouse in the moderate price range. Do you think you could find one for me?,What part of town would you like to stay in?
"I have no preference, but the guesthouse should include free parking.","Acorn guest house meets all your needs, would you like to book that?"
That's perfect. I would like to book it for 1 person. It needs to be for 4 nights beginning Saturday.,"I'm sorry, but the Acorn Guest House doesn't have those dates available. Would you like to try for a different day or shorter stay?"
"Yes, please try booking for 2 nights.",Your booking for 2 nights at the Acorn Guesthouse was a success! Your reference number is R4ES2ZFT . What else can I do for you today?
Are there any attractions to see in town? I'm interested in going to a museum if any exist.,We have 79 museums listed. Would you like a certain area of town?
I'm looking for a restaurant that serves international food.,There are three international restaurants in Cambridge. Do you have a price preference?
I would like to find a moderately priced place and I need a reservation for 4 people at 12:15 on a Thursday.,Okay I have the Bloomsbury and the Varsity restaurants. But I was unable to reserve either. Is there another time that would suit you?
"Yes, could you make it for 11:15, and can you give me the reference number?","Alright, I have booked you a table for 11:15 at the varsity restaurant. Your reference number is HM90EAET . Is there anything else I can help you with?"
"I am looking for some entertainment, do you know anywhere I could go in the centre of town?",Unfortunately I don't see anything entertainment related in the centre of town. How about another area of the city?
That's fine. I'd like to know about museums in the area instead.,"Fantastic, there are 11 museums in the centre. Can I recommend the Fitzwilliam Museum, if you don't have a preference?"
Fitzwilliam Museum sounds great. What is the postcode?,The postcode is cb21rb.
Is there anything interesting to see in the centre of town?,"In addition to architecture, colleges, and museums, we also have boat attractions, nightclubs, and theatres in the centre."
I would be interested in seeing some interesting architecture.,"There are a few places, mainly churches, that have great architecture. Do you want information on any of those?"
"No thank you though. I would like information on greek restaurants that would be in the same area as the churches you suggested, please?",there is no greek restaurant in the centre. can we change the location?
"Well, how about African food?",Bedouin is an expensive serving african food in the centre of town.
"That sounds good, can you book 2 people at 13:30 on Tuesday.",Booking was successful. Reference number is : IA596HSH . Is there anything else I can do for you?
"Yes, I'll also need a taxi to commute between the two places. I'll need to be at the restaurant by 13:30, of course.",Okay and where do you need the taxi to pick you up?
I'd like to find out more about expensive restaurants in the city centre.,they are many. what is your prefered food type?
"Are there any restaurants that serve French food? If so, I will need the phone number to the restaurant.",yes cote does. can i give you their contact?
Yes please. I did state that I wanted the phone number.,The number for Cote is 01223311053. Is there anything else I can do for you?
"Can you give me some information on a hotel called holiday inn Cambridge, please?","The Express by Holiday Inn Cambridge is an expensive, 2-star hotel in the east. They're located at 15-17 norman way, coldhams business park. Can I book a room for you?"
"Hi, I am planning a trip and need some suggestions. I am looking for places to go in town.",Can I ask you some questions about the types of places you want to go while you're in Cambridge?
The attraction should be in the centre and should be in the type of cinema.,"The Vue Cineme is in the Grafton Centre, on East Road. Do you need any more information?"
What is the postcode for The Vue Cineme?,The postcode is cb11ps. Is there anything else I can help you with?
"Yes, I'd also like to find a moderately-priced guesthouse on the west side, if possible. I do need free wifi.",I have one place.Shall I book it?
"Sure, I'll be coming in on Sunday with one other person. We'll be staying for 3 nights.",Okay. Your booking was successful. The reference number is UOE033DZ . Can I help with anything else today?
Can you book me a taxi to get me from the cinema to the hotel?,"Absolutely, when did you want to leave?"
"Hi, I am planning a trip to your beautiful town and am looking for places to go when I get there. Can you help me?",Certainly. Do you have any particular types of things you'd like to see?
I'm interested in exploring the local architecture.,There are many colleges and churches to see.
Do you have a favorite?,My favorite is clare hall.
I need a place that is architecture.,How about old schools? It is architecture and a school!
"Could I have the postcode, area and entrance fee of what you recommend?","Okay, Old Schools is on Trinity Lane and is in the centre. Post code is cb21tt and it is free admission."
"Thanks! I'm also looking for an expensive, 2-star place to stay in the north. Do you have anything like that?",there are no expensive hotel in the north. can you change the location?
I am looking for a restaurant in the centre of town.,There are 69 restaurants in the centre. Is there a specific type of cuisine or price range you are looking for?
"I am looking for an expensive restaurant in the centre, type of food does not matter but I need a table for 7 people for Tuesday at 13:15.",Unfortunately there is no vacancy on that day at that time. Can we try another day or time?
Could we try for Tuesday at 12:15 please.,"I made a reservation at Bedouin, an African restaurant, for 7 people on Tuesday at 12:15. Your reservation number is PN95JSUF . Is there anything else?"
"Yes, I'm looking for a particular attraction called Whale of a Time. Do you have any information on it?","Yes, Whale of a Time is located in the west part of town, phone number is 01954781018. Any other questions?"
I'd like to find out more about taking a tour of Trinity College.,"I do not have information about tours, would you like the phone number for Trinity College?"
"Actually, can you tell me what type of attraction it is? My friend suggested it and mentioned the name, but not much else.",It is a college located on trinity street. The entrance fee is 1 pound. May I help you with anything else today?
"Yes, I'd like to find a restaurant in the centre of town.",Of course. There are many restaurants in the area. Is there a food type you're interested in?
I would chinese please.,Is there a price range you'd like to stay in?
"Yeah, I'd like a moderately priced restaurant. And type of food doesn't actually matter. Just somewhere moderately priced in the centre of town.","May I suggest Jinling Noodle Bar, they have excellent food moderately priced. Would you like a reservation?"
"Hi, I need a hotel on the west side, please.","We have a couple options available to you, is there a particular price range you are looking for?"
"I don't care about price range, but I do want the hotel to have a 4 star rating and have free wifi.","I have the Huntingdon Marriott that is more expensive. Also, the Cambridge Belfry that is cheap. Do you have a preference?"
Can you tell me their post codes?,Huntingdon marriott post code is pe296fl and the cambridge belfry postcode is cb236bw. Anything else I can assist you with today?
No. Thank you. Goodbye.,You're welcome. Have a wonderful day!
I also need information on the maharajah tandoor restaurant please.,It is an expensive restaurant in the west area serving indian food. Would you like me to book it for you?
I'm looking for an expensive restaurant in the center of town.,"There are many expensive restaurants in the centre of town, is there a specific type of food you would like?"
Is there any Turkish cuisine? If so I need the postcode and the address.,The Meze Bar restaurant matches your tastes. It is located at 196 Mill Road City Centre. The postcode is cb13nf.
I am also looking for museums in the area.,"There are many museums listed in the centre area, what kind of museum are you interested in?"
"I don't really care, what do you recommend? I will need the postcode and entrance fee please.",How about Cambridge Contemporary Art? The entrance is free and the postcode is cb21su. Enjoy!
I need to get a taxi out of holy trinity church.,What is your destination?
I'm going to saint johns chop house.,I can help you with that. When do you need to leave?
I need to arrive at the chop house by 22:30.,Your taxi is booked. Look for a yellow Volkswagen.
I'd like for a taxi to take me to gonville hotel today,And where will you be leaving from?
I'll be departing from j restaurant.,What time would you like to depart at?
I'm looking for a place to dine in the centre in the moderate price range.,Would you like a table at Cotto?
"Yes, that would be fine. I don't need a book but can you give me the phone number and address for Cotto? Thanks","Sure! The phone number for Cotto is 01223302010 and the address is 183 East Road, City Centre. Is there anything else I can help you with?"
Can you tell what attractions are near the restaurant?,There are 44 attractions in the centre of town. Do you have particular type of attraction in mind?
"No, what do you recommend?",The old schools is wonderful located at trinity lane.
I am looking for some places to go in town. I'm so excited about seeing some of the local attractions.,There are many to choose from! Almost 80. Can you tell me if you have a certain type of place you want to visit?
"What do you recommend? I will be need the address, entrance fee, and postcode for what you recommend please.",I honestly recommend visiting a famous college such as Christs or Magdalene.
"Could I have the address, entrance fee, and postcode.",Christ's College is on Saint Andrew's Street and postcode CB23BU. There is no entrance fee. Can I help you with anything else?
"Yes, I'm also looking for a place to stay. The hotel doesn't need to include internet.",There are about 33 hotels that meet your needs. Can you narrow it down to a certain area of town and price range?
"I'm sorry,was Christ's College in the centre? I did need something in that area.",Yes it is in the centre.
Is there one in the centre with free parking,"Sorry, parking isn't something that is mentioned for attractions."
I am looking for an expensive gastropub restaurant in Cambridge,I see there are two in centre and one in East area. Do you have a preference?
Yes I need the one in the east.,Great! That's the Royal Standard at 290 Mill Road City Centre cb13nl. Would you like to book a table?
Yes. We need a table for 2 at 14:45 on Saturday.,Sorry booking was unsuccessful. Would you like to try a different time?
How about at 13:45?,Your table is booked! It will be reserved for 15 minutes and your reference number is 9M44WAHK .
Thank you so much. Can you help me find a place to stay? I would like a 3 star place that's in the expensive price range.,I recommend the Lensfield hotel on the south side. Shall I book a room?
"I would like it to have free parking, please.","The Lensfield has free parking and free internet. Did you need a room there, or perhaps their address?"
"I would like to book a room, please.","Ok, I can book a room for you at the Lensfield Hotel, I just need some information. For starters, what day would you like to check in?"
I'm looking for a cheap portuguese restaurant,Nandos in the South and Nandos City Centre in Centre meet that criteria. Would you like more information on either of these?
"Yes, could I get the location and the phone number please.",Do you want the information on Nandos in the south or the Nandos City Centre?
"I prefer the Nandos in the City Center. Also, I need information about museums or art galleries in the west.",Nandos' number is 01223327908. There are several museums in the west. I've heard that Cafe Jello Gallery has some lovely pieces. Or would you like to hear about the others?
"Yes, I am looking to kill some time in town. Are there any museums on the west side?","Yes, Cafe Jello Gallery fits that bill. Admission is free and it is located at Cafe Jello Gallery, 13 Magdalene Street. There are others in the area as well."
Thank you. What is the post code for Cafe Jello Gallery?,Their postcode is cb30af.
"Howdy, it would help me a great deal if you could please get me some information about the alexander bed and breakfast",it is a cheap guest house located in the centre. you want their phone number?
I would like the address please.,They are located at 56 Saint Barnabas Road. Do you need help with anything else today?
Could you provide me with the star rating of the Alexander bed and breakfast?,They are 4 stars. Does that work for you?
"Yes, that is perfect! Can you also find a restaurant in the centre? I'm looking for Mediterranean, but not too expensive.","The Gardenia is your best bet. It's cheap, but fantastic. Would you like to book a table?"
"I need the phone number, address, and postcode",The phone number is 01223356354.
I would like to eat at cheap restaurant in the centre while I am here in Cambridge.,"Is there a food type you have a preference for? Spanish, Italian, Chinese, Indian are just some of the choices."
"No, I don't really care what kind of food it is as long as it's cheap. I will need a reservation for 1 person at 14:45 on Monday.","Okay, I've got the dojo noddle bar in the centre of town that serves cheap food. How will that be?"
"I'd like to book a table for 1 at 14:45 on monday, please. I also need the reference number.",I have booked the restaurant for you. The table will be reserved for 15 minutes. The reference number is Y3MGYYH6 .
I also need a hotel that is near the restaurant.,There a 5 places in the centre. Do you have a preferred price range?
No price range. I do need it to have free wifi and parking though. Can you tell me what star that hotel would be?,How about el shaddai? It has free parking and wifi and is in the centre of town.
"That sounds good. What is it's star rating, please?",The star rating is 0. Would you still like me to book this hotel for you?
I need to find a place to eat in Centre please.,The Golden House is located at 12 Lensfield Road in the City Centre. The phone number is 01842753771.
Thank you. Can you let me know what the price range for the restraunt is? I'm looking for somewhere cheap.,The Golden House is in the cheap price range. Would you like to book a table?
What is the food type?,They serve chinese food there.
"No. I need a guest house, same price as the dining place.",What area would you like to stay in?
I need a hotel in the east which includes free wifi.,"Yes I have a few in the east that have internet,would you like me to get the information on a few for you?"
"yes, I would also like for it to be a guesthouse style and in the area of east, thank you","I have a few different options available, did you preference a moderate or cheap priced hotel?"
I don't have a preference on price. It also doesn't need to have free parking.,"I found one option with your preferences, the A and B Guest House. It has a moderate price range and 4 stars."
"That sounds lovely. I also am looking for an Italian restaurant in the moderate price range, can you help me?","Absolutely, you have five choices. Would you prefer a place in the south, centre, west, or east side of Cambridge?"
"I'd like a place in the east, please.","That would be pizza Hut Fen Ditton, what time would you like to go?"
I'd like a reservation for 6 people at 14:45 on saturday.,"I am very sorry I was unable to get a reservation at that time, would you like to try for another time slot?"
Can you find me a moderately priced chinese restaurant please,"Certainly! There are 4; 3 in city centre, and 1 in the north. Do either of these areas look good?"
"Yes, the one in the north does.",I have the golden wok phone 01223350688 postcode cb43hl. It is located in the north and a moderate price. Should I book this for you?
Yes please - could you make a reservation for 4 people at 12:15 on Saturday?,Booking was successful. The table will be reserved for 15 minutes. Reference number is : YI8BKDR2 . Is there anything else I can do for you?
Yes are there any parks in the same area as the restaurant?,Yes there is 1 park in the same area. It is Milton County Park. WOuld you like more information?
"Hello, I am looking to find a restaurant that is in the centre. I would prefer something in the expensive price range.",I can help you with that. Do you have any cuisine preferences?
"Yes, I would like to eat Chinese food.","Oh I have some great options for you. I have a total of 4 restaurants, how about trying th Ugly Duckling?"
Yes that is good please make a booking for 8 people at 14:15 on sunday.,Booking was successful. The table will be reserved for 15 minutes. Your reference number is 076ZN8YF
I need a place to stay that has free parking and is in the expensive price range.,I found 33 hotels that match that criteria. Is there a particular side of town you prefer so I can make a recommendation?
It doesn't matter. I would like 4 stars and fee wifi though.,The huntingdon marriott hotel is a 4 star hotel
That sounds great! Does it have free parking and free wifi?,"Yes it has both, would you like me to book you?"
"Hi, I'm looking for a guesthouse. Do you know of any 4-star properties?",There are many options that are 4 star. Is there a particular area or price point you would like to stay in?
No particular area but free parking would be nice,"Acorn Guest House located in the North is a 4 star location with free parking and wifi, would that suit your needs?"
Yes please book that for 5 people for 3 nights starting on Saturday.,The booking was successful. Your reference number is: DKI36RGY . Is there anything else I can do to help you today?
"Actually, yes. I wanted to visit a college whilst I'm in town. Could you recommend one for me?","We have a large number of colleges, could you tell me the area you would like to visit one in?"
"I need a cheap, 2 star hotel to stay at here in Cambridge",I have no hotels matching your request. Would you like to change your price range or star rating and try again?
"Ok, find me a hotel that has free parking included then.","The Cambridge Belfry has free parking and is in the cheap price range, would you like to book this hotel?"
Is it in the moderate price range?,"No, the hotel is within the cheap price range. Would you like me to alter the search?"
I would like one in the moderate price range. I need to book one for 4 nights for 4 people.,I have found two hotels meeting your specifications in the moderate price range. Do you have any additional preferences?
"No, I just need a room for 4 people. We'll arrive on monday and stay 4 nights.",I was able to book you at the Ashley Hotel on Monday for 4 nights/4 guests. Your reference number is KFHQFY56 . Is there anything else I can assist you with?
I'm looking for a moderate priced place to dine serving modern european food.,Which specific area are you interested in?
I'm looking for someplace in the center of town.,"There are two restaurants fitting your needs, de luca cucina and bar and riverside brasserie. Do either of these sound good to you?"
Well I would like modern European food and the prices to be moderate. Do either of these restaurants match those criteria?,De Luca Cucina and Bar and Riverside Brasserie both serve Modern European both are moderate price range. Which would you like?
I would like the address and phone number to De Luca Cucina and Bar. Also looking for places to visit in the same area.,"Ok De Luca Cucina and Bar's address is 83 Regent Street and their phone number is 01223356666. For places to visit, did you want it to be in the same area as the restaurant?"
I would like it to be in the same area yes.,"We have 44 different attractions in the Centre of Cambridge. Can we narrow it down by type, such as nightclub, college, or architecture?"
You can recommend anything as long as it is in the same area as the restaurant.,i will recommend old schools. can i give you the contact?
"Hello, I'm looking for an architecture place to go in the centre of town.","there are several architecture places you could go, all saints church,great saint mary's church,holy trinity church, and old schools, which one could you prefer?"
Old Schools sounds cool - can I have their phone number?,You can contact Old Schools at 01223332320. Is there anything else I can assist you with?
I'm looking for the gonville hotel.,Gonville hotel is in the expensive price range in the centre would you like me to book it
"Hello, can you recommend attractions in the Centre of town, please?",Absolutely! My favorite place in the center of town is Cambridge University Botanic Gardens. It's beautiful there!
"That sounds great, thank you very much! What type of attraction is that?",it is a park. can i give you their phone numbers?
No thanks. Can you find a guesthouse with free parking for me?,There are 21 guesthouses. Do you have a preference in price range or area of town?
"No, but I definitely need free wifi.",That narrows it down to 21 options. Would you like a particular star rating?
Not really. It's fine.,"Well, if you'll be visiting the centre, I recommend the El Shaddai. It's moderately priced with wi-fi and parking. Would you like me to make a booking for you?"
i want to book a taxi.,"Sure, i can help you with that. Where will you be departing from?"
I want to leave from the train station.,Can you tell me what time you would like to leave?
I want to leave london kings cross train station after 02:00,"Okay, and what is your destination?"
"Oh, I'm sorry I need to get to gallery at twelve a high street.","I'm sorry, I don't understand. What is the gallery name you want to travel too?"
Please find a place called Club Salsa.,Club Salsa Is located at 1 station road. Do you need any more information?
Wonderful. The address was exactly what I wanted. You're so efficient.,Great I am glad I could be of help.
I am also looking for a moroccan restaurant in the centre.,I'm sorry there are no moroccan restaurants in the centre of town.
Boo. I guess I would be able to try a modern european food restaurant?,I recommend De Luca Cucina and Bar on 83 Regent Street. It is moderately priced and in the centre of town. Would you like me to book a reservation?
Yes I am looking for a hotel in the centre of town.,We have 3 hotels in the centre of town. Did you want a moderately priced one or an expensive hotel?
Price doesn't matter and I don't need internet. I do however need free parking.,"In that case, I recommend the University Arms Hotel, a 4-star place on regent street."
"That sounds good, let's go with that one.",I can book that for you. How many people will be staying? How many nights do you want to stay?
"I would like it to be for 6 people and 2 nights starting from Wednesday, please.","Your room is booked, ref# KHHJBQSZ . Can I help you with anything else today?"
Thank you. I also would like to find some places to go in the area of the hotel.,We're fortunate to have a wide variety of attractions in the centre of town. Do you have any specific interests today?
I'm looking for a hotel in the north.,"We have two options in North available for you, do you have any additional criteria to choose between those or would you like a reccomendation?"
I do want it to be a 4-star place.,It looks like there aren't any 4 star hotels in the north. Would you like me to check another area?
"No, I like the North. Perhaps there is a guesthouse that is 4 stars?","There are several options for guesthouses in the north with 4 stars, would you prefer moderate or cheap price range?"
I would prefer the cheap price range.,Would you like to book worth house?
What is the price of the Worth House?,"Sorry, I don't have that information. There phone number is 01223316074."
"can you book a room for tuesday, 5 nights, 5 people.","Sure, your booking for the Worth House for a 5 night stay has been confirmed. Your reference number is GWIK59YW . May I help with anything else?"
Can you help me find a hotel in the north?,Yes do you have a price range preference?
Yes I have a moderate price range.,Ashley Hotel is moderately priced and located in the north. Would you like to book a room?
"Does it offer free parking? If so, I would like to book it for four nights starting Thursday for 3 people please.",Yes it offers free parking.
Can I have a reference number for the booking?,Ashley Hotel will be expecting your party of 3 for 4 nights starting Thursday. Your reference number is K5JO25UL . Is there anything else I can do for you?
Yes. I would like to find a restaurant in the same area and price range of the hotel that serves Cuban food.,"I'm sorry, there are no Cuban restaurants in the city - is there another type of cuisine that you'd like to try?"
What about one that has Chinese food?,I've found one result. It is golden wok. Do you want a reservation?
I'm looking for information on the People's Portrait Exhibition at Girton College.,The people's portraits exhibition at girton college is a museum in the west area of town and is free to enter. Would you like more information about it?
"Yes please. You said it was free, correct?",Yes that is correct it is FREE to enter the People's Portraits Exhibition at Girton College.
"Ok thanks I also need a place to stay located in the east and must be a guesthouse, can you help me?",I have 6 different options. Do you have a preference for the price range?
"I prefer to stay somewhere in the cheap price range, and it should include free parking.","I have 3 options left. I have the Allenbell, the Autumn House and the Leverton House. All offer free parking and free internet. Which would you prefer?"
Are there any boating activities available?,There are 4 boat attractions. What is your preferred area?
"I don't care, what do you have?",Camboats is a great choice. It is located in the East area of town. Would you like additional information for the company?
Yeah what's the address of Camboats? I also need an expensive place to eat.,"Camboats address is The Plough, Green end, Fen Ditton. Regarding restaurants I am showing an elegant Chinese restaurant, British Cuisine, and an upscale Gastropub near the Camboats location."
Do any of those serve molecular gastronomy food and in the centre of town?,"I'm sorry, there aren't any serving that type of food. Would you like to try something different?"
How about something that serves seafood?,"Yes, loch fyne is in town centre and serves seafood. It is in the expensive price range. Would you like to reserve a table?"
Hello! I'm looking for some entertainment in the centre please!,"There is a movie theatre, a concert hall, nightclubs, and museums. What would you like?"
Could you please provide me with some information on an attraction that is in he type of museum?,There are 11 museums listed in the centre area. Cambridge contemporary art and castle galleries are two that are listed. Would you like more information on one of these?
What is the entrance fee for the contemporary art museum?,The entrance fee is free.
Free is the best price! I'll probably be hungry after the museum. Are there any moderately priced Italian restaurants around?,Pizza Express is a moderately priced restaurant in the centre of town. Would you like more information on it or to are you interested in booking a table?
I need to book a taxi to come by Saffron Brasserie by 03:30.,I'd be happy to help! Where are you coming from?
I'm coming from saffron brasserie.,Where will you be going?
I'm going to leicester train station and need to arrive there by 03:30,"Just want to confirm before booking you are departing from saffron brasserie and want to arrive at leicester by 3:30, is that correct?"
I am looking for a college to visit.,"We have many colleges in Cambridge, most of which are in the center of town. Do you have a specific area in mind?"
"I don't have a preference, but could I have the entrance fee, postcode, and phone number please?",Clare college is located in the west with a postcode of cb21tl. The phone number is 01223333200 and the entrance fee is 2.50 pounds.
Thank you. Can you help me in finding a hotel in the centre of town?,May I recommend the Alexander Bed & Breakfast Hotel located in the centre of town at 56 Saint Barnabas Road?
Does it have 0 stars? I'm wanting to make sure I book a room at a place with 0 stars.,"No, the Alexander has a 4 star rating. There are two others located in the centre of town that have 0 stars. Would you like information for either of those?"
"Could either of the ones with 0 stars accommodate 7 people for 4 nights, starting from Saturday? If so, book it and please provide a reference number.","In order that I may better serve you, I will need the date you will need your accommodations."
I'd like for a taxi to take me to autumn house from travellers rest,Sure thing! What time do you want to leave?
"I wanted to visit a place called Center, could you tell me the hours it's open, and if it is an attraction that I would need to book in advance?","I'm sorry, I don't have a listing for an attraction by that name."
ok. can you find me a nice hotel where i can spend over the weekend,"Perhaps you were interested in an attraction located in city CENTRE? Theatre? dancing? dining? museums? If not, I can help with hotel booking too."
"Yes, I am interested in one located in the city Centre. Can you list out several for me so I can choose from them?",There are 44 different attractions in the centre ranging from architecture to nightclubs. What type of entertainment are you interested in?
Please give me a list of nightclubs and the admission fee,There are five nightclubs in the Centre. May I suggest Soul Tree Nightclub? It cost four pounds for the entrance fee.
Can you give me the post code for the Soul Tree Nightclub?,The postcode is cb23qf. Is there anything else I can help you with today?
I would also like to book a table for a restaurant that serves British food and is expensive. I need this to be in the same area as the nightclub.,I found 3 restaurants matching your request. The cambridge chop house is very popular. Would you like to book a table there?
yes can you please help me with that?,Yes when would you like to book?
What museums are there in the north area of town?,I'm sorry. There are none.
How about a swimming pool then?,"Kings Hedges Learner Pool is located at Jedburgh Court, Kings Hedges."
Thank you. I just need the phone number and I'm wondering how much the entrance fee is?,Yes of course their telephone number is 01223353248 and I do not unfortunately have information on their entrance cost at this time.
