question,answer
I think I'd like to visit the centre.,There are 13 colleges in the city center but I recommend visiting Downing college and it is free to get in.
"I'm looking for a hotel, can you help?","I can, we have 9 hotels, do you have anything else to narrow it down?"
It should be in the centre and be on the expensive side.,I have 2 available hotels. One is the Gonville Hotel located on Gonville Place. The other is University Arms Hotel on Regent Street. Which one would you like to book?
Can you book the one without wifi?,"they both have internet, for what days and how many people should I book?"
Do either of them offer free wifi?,"As previously mentioned, they both have internet available. I don't have specifications about the internet service however. Would you like to book one of these?"
"Yes, please book for two nights beginning on Sunday for one person.",Your booking was successful and the reference number is ELYPAXQZ .
Thank you. I'm also looking for a museum to go to in the same area.,there are 11 all with free entrance. Would you like me to recommend one?
I'm looking for a train.,Let's start with where you are departing from and where you are going?
Departing from ely to cambridge.,"There are quite a few trains from Ely to Cambridge. On what day will you be traveling, and at what time would you like to depart?"
It's on Tuesday. I need to arrive by 9:30 and need to book for 7 people. Could I also get the reference number too?,"Ok I have booked you on TR6971 leaving Ely at 7:35, arriving at cambridge by 7:52 for 7 people. Reference number AQRMT6Q9 . Anything else I can help with?"
Please find me a place to dine that's expensive and in the centre.,Fitzbillies restaurant is expensive in the centre of town. Would you like to try that?
I am looking for Thai food.,we have bankok city. it is located in 24 green street centre. can i give you the phone number?
Ok great. Can you reserve a table there for Thursday for 5 people at 15:00 please?,it was successful. Reference number is : AKNPF1IH .
Thank you for your help.,Your very welcome. Can I help you with anything else today?
What fun places can I visit in the East?,"We have five spots which include boating, museums and entertainment. Any preferences that you have?"
I don't have a preference. Which place would you recommend?,I'm fond of the Cambridge Museum of Technology. Would you like more information on it?
What is the entrance fee?,It is 5 pounds to get in.
"Great, thanks! Can you help me find a train going into Cambridge as well?",I certainly can! Where would you be coming from and what day and time?
"Hi, I am traveling to Cambridge and am super excited to see some local tourist attractions. I am looking for some suggestions on places to go in town.","There are 79 attractions in Cambridge. There are churches, museums, swimming pool, and many more attractions. What are you interested in doing?"
Perhaps I'd like to see a museum. Are there any in the centre?,"There are 11 museums in the centre area. There is a science museum, an art and antiques museum, and 9 others. What kind of museum are you interested in?"
Does not matter can you just recommend one please.,"Castle Galleries is a very nice museum in the centre, and their entrance fee is free!"
I would like to find a cheap hotel to stay at where there is free parking. Do you have any suggestions?,"The cambridge belfry fits the bill, would you like me to book you a room?"
Do they have free parking? are they rated 3 stars?,"Yes, they do have free parking and they have 4 stars."
Did you have something that fits with 3 stars?,"I hovw no listing for a 3 star hotel,would you like too try another area ?"
What about a 4 star hotel?,The Cambridge Belfry is a 4 star hotel in the cheap price range and is on the west side. They offer free Wifi and parking. Would you like a reservation?
"Yes,please book for 5 people for 5 nights starting on Thursday.",I am unable to book for Tuesday.
"I would like to book for Thursday, not Tuesday.","I am sorry, I can't make that reservation either."
"I am looking for a place to go in the centre, of type multiple sports.","Unfortunately, there is not attraction type with multiple sports in the centre areat."
Is there a nightclub located in the centre instead then?,There are 5 nightclubs in the centre. Would you like me to send you a list with their address and price information?
"No, I just need the phone number and entrance fee for each of them.","Ballare 5 pounds, phone 01223364222. club salsa 5 pounds, phone 07782218745. kambar 5 pounds, phone 01223842725. soul tree nightclub 4 pounds, phone 01223477900. the fez club 5 pounds, phone 01223519224"
"Hi, I need a moderate price range restaurant in the centre of town.",There are 21 restaurants that are moderately priced in the centre of town. Do you have a food preference?
British or European would be fine. May I book a table for 2 at 16:00 on a Wednesday and get a reference number please?,"The oak bistro is a British restaurant in the centre area, in the moderate price range. Would you like to book this restaurant?"
Yes. The booking should be for 2 on wednesday at 16:00. Could I also get a reference number?,"Alright, you're all booked! Your reference number is YWEKSO7H . Is there anything else I can help you with?"
I'm also looking for a place to visit within the same area as the restaurant. Do you have any recommendations?,"We have parks, boats, museums, and many other interesting things to do. What strikes your fancy?"
"I am traveling to Cambridge and excited about seeing location attractions. Could you help me find a place to go, like a college?",Certainly. I have many available. Is there a particular area you are looking in? I have several in the west and centre.
Can you give me the entrance fee for one of the colleges in the centre?,"Corpus christi is 2 pounds, which is in centre."
I'm also looking for a hotel in the centre. I don't want to stay in a guesthouse. It needs to be a hotel.,"I can book you at the university arms hotel. It has a 4 star rating, free parking and wifi. Does this interest you?"
Yes. That would be great.,What will be the first day you will stay and how long will you be staying?
Can you find me a train from Cambridge to Leicester?,There are several what day and time do you want to leave or arrive?
I'd like to leave on wednesday and should arrive by 13:00,The TR2176 leaves Cambridge at 09:21 and gets into Leicester at 11:06. Will that work for you?
What is the price of that train?,The price is 37.80 pounds. Would you like to go ahead a book a seat?
"Yes, I would like to book a seat on that train. Thank you.","Just to clarify, am I booking just one ticket or more?"
I am planning a trip in Cambridge,I can help plan your trip! What do you need?
I need a train ticket going to cambridge from norwich on saturday anytime after 15:00,There are 9 trains traveling from norwich to cambridge after that time on Saturday. Do you need to arrive by a certain time?
"No it doesn't matter when I get there. Can you pick one, and make me a booking for three people? I need a reference number too!",Okay. I've booked you three tickets on the TR9724. Your reference number is J87QHBRM . You'll owe 42.24 at the station.
"Hi, I am planning a trip and could use some help with a particular attraction.","Okay, sounds good. What attraction are you thinking about?"
I'm looking for Milton Country Park.,I have found it what types of information can I get you on it?
"Can I get the attraction type, entrance fee, and postcode please?",It's a Park and there's no entrance fee. It's free for all. The postcode is cb46az. How can I be of further assistance today?
I'm also looking for a great Italian restaurant on the east side of town that you would recommend.,I would suggest pizza hut fen ditton
Can you help me find a place to go on the east side of town where I can enjoy multiple sports? Thanks.,There is the cherry hinton village centre. Would you like me to making a reservation for you?
"No thanks, I'd like to call them first. Can you give me the address, phone number and entry fee for Cherry hinton village centre?","Their phone number is 01223576412 and the postcode cb19ej. They are located at Colville Road, Cherry Hinton."
looking for a train. The train should go to london liverpool street and should leave on saturday,Where will you leave from?
I am leaving from Cambridge.,how about train TR4078 that leaves at 13:39?
Can you find me an expensive restaurant in the north?,There are five expensive places to dine in the North. Would you like to try asian oriental cuisine?
Yes. That's exactly what I'm looking for.,Saigon City at 169 High Street Chesterton fits the description. Shall I make a reservation for you?
"Yes, please. Can you make a reservation for 7 people at 12:30 on a Tuesday? Thanks",I made a reservation for you at Saigon City for a party of 7 on Tuesday at 12:30. Your reference is N2FHZ30Y . Is there anything else I can help you with?
Wonderful. I'm also looking for a cool place to check out in the same area.,"There are 79 attractions, would you like to try cineworld cinema?"
"Hello, do you have any information regarding interesting theatres to visit in the centre of town?","Sure thing, there are four theatres in the centre of town. ADC Theatre, Cambridge Arts Theatre, Mumford Theatre, and The Cambridge Corn Exchange."
I'm interested in one of the theatres! Can I get the entrance fee information for those?,"I'm sorry, but none of the theaters list the entrance fee. Would you like the phone number for any of them?"
"That's okay, could you provide me with the postcode and address, please? Also, I am looking for a train leaving after 16:00 this Monday.","The ADC Theatre is located on Park Street and its postcode is cb23pj. Before I find your train, could you tell me where you would like to go?"
"Yes, I am hoping you can give me some information on a train.",Can you please give me more information? There are numerous trains leaving on Friday to Cambridge.
I am leaving cambridge on Tuesday and going to Birmingham new street.,"Sure, there are plenty of trains that match your requirements. Did you have a particular time of day you were wanting to travel on Friday?"
I would like to leave after 21:45.,There are two trains that fit your criteria. One will arrive at 24:33 and the other at 01:44. Which suits your needs?
How about the one arriving at 01:44.,How many tickets can I book for you?
What is the travel time for the one arriving at 1:44.,The travel time for TR4724 is 163 minutes.
I want to know where I can go in the town centre of Cambridge.,There are many places to go in the centre. Are you looking for an attraction or restaurant?
"An attraction of any type would be fine as long as it's in the centre, please.",I could recommend old schools. It is architecture and free to see. Would you like more information?
Yes tell me one of those recommendations.,Old Schools is an architectural attraction on Trinity Lane that has no entrance fee. Their phone number is 01223332320. Can I help you with anything else?
Can you provide me the full address including postal code? Thanks.,The address listed for Old Schools is simply Trinity Lane. And their postcode is cb21tt. Is there anything more I can do for you today?
"Yes, I would also like to find an expensive restaurant in the same area.",What kind of food would you like and what price range
Can I please get a train ticket from Norwich to Cambridge?,We have many trains available but to help find the right one could you provide me with what day you will be departing and your departure time and arrival?
I will be leaving after 15:15 on Tuesday.,TR4180 leaves at 15:16. Does that work for you?
"Perfect, can I get 8 tickets?","Booking was successful, the total fee is 140.8 GBP payable at the station . Reference number is : CO0GWJCJ . Can I help you with anything else today?"
i am also looking for places to go in town. The attraction should be in the type of park.,We have a lot of excellent options. Is there a particular area you'd like to visit?
"Yes, I would like to visit a park.","There are parks in the centre, east, north and south. Could you please let me know which area you prefer?"
I'm looking for a hotel called Kirkwood House please.,I've located Kirkwood House. It's a guesthouse in the north. Would you like to book a room?
May I please have the phone number for the hotel?,Absolutely. That number is 01223306283.
I'm also looking for some places to go while I'm in town.,"There is boating, a park, and some swimmingpools in the north. Any preference?"
I would like it to be a museum please.,I'm sorry there are no museums in the north. Would you like me to check a different area?
"Good Morning, I am looking for a place to on the east side that has entertainment","Ok, cherry hinton hall and grounds is in the east side of town. Would you like the address?"
"Yes, and the postcode please!",cb18dw is their postcode.
I would like a guesthouse in the moderate price range. Do you think you could find one for me?,What part of town would you like to stay in?
"I have no preference, but the guesthouse should include free parking.","Acorn guest house meets all your needs, would you like to book that?"
That's perfect. I would like to book it for 1 person. It needs to be for 4 nights beginning Saturday.,"I'm sorry, but the Acorn Guest House doesn't have those dates available. Would you like to try for a different day or shorter stay?"
"Yes, please try booking for 2 nights.",Your booking for 2 nights at the Acorn Guesthouse was a success! Your reference number is R4ES2ZFT . What else can I do for you today?
Are there any attractions to see in town? I'm interested in going to a museum if any exist.,We have 79 museums listed. Would you like a certain area of town?
I'm interested in finding a train to peterborough on Wednesday please,I can help! What time are you looking to depart?
on wednesday by 8 15 please,"Ok, I've got train TR3730 that leaves at 07:06 and would put you in Peterborough by 07:56. Would that work for you?"
Yes that will work great can you book me 2 tickets?,"Booking was successful, the total fee is 33 GBP payable at the station. Reference number is : J7JWEILX ."
I'm looking for a multiple sports attraction in the area of center.,We currently do not show any locations that fit that criteria. Would like me to look in a different area?
"No, How about a swimming pool in that area?","Parkside Pools is located at Gonville Place. I do not have the entrance fee available, but the phone number is 01223446100 and the postcode is cb11ly"
Thank you for the phone number. Thanks for the help!,Is there anything else I can help you with today?
I am also looking for a train leaving friday.,"There are 404 trains that day, what destinations do you need?"
I would like to book a train.,What day do you need the train? What is your destination?
I am sorry I mean I want a nightclub to go in the wast side of town.,"Unfortunately, there aren't any in that area. How about another location?"
how about one that is in the type of museum.and make Make sure you get address,Kettle's yard is museum in the west part of town. It is located on castle street.
I also need a moderate priced room.,great! what area of town are you thinking of?
I'd like it to be a guest house in the north.,"okay, I can help you with that. When are you planning your stay?"
I'm not sure yet. I'm really researching right now. Can you please recommend a guesthouse in the north in the moderate price range?,I've got 9 guesthouses in that price range. Do you need internet and/or parking?
I'm looking for some place to go in the town centre. Something sports related.,I am sorry but I have nothing in that area for sports. Would you like to try another area or attraction today?
"OK, are there any colleges in the center of town?","There are 13 colleges in the centre area. Christ's College and Downing College are two of these, would you like some more information on one of these?"
"Yes, Christ's College. What is the entrance fee for that college?","I'm sorry, I cannot look up the entry fee to Christ's College. Is there anything else I can do for you today?"
I also need a restaurant in the same area.,"Sure, there are many nearby, do you have a type of cuisine you are looking for or a price range to look at?"
I'm looking for a restaurant that serves international food.,There are three international restaurants in Cambridge. Do you have a price preference?
I would like to find a moderately priced place and I need a reservation for 4 people at 12:15 on a Thursday.,Okay I have the Bloomsbury and the Varsity restaurants. But I was unable to reserve either. Is there another time that would suit you?
"Yes, could you make it for 11:15, and can you give me the reference number?","Alright, I have booked you a table for 11:15 at the varsity restaurant. Your reference number is HM90EAET . Is there anything else I can help you with?"
"I am looking for some entertainment, do you know anywhere I could go in the centre of town?",Unfortunately I don't see anything entertainment related in the centre of town. How about another area of the city?
That's fine. I'd like to know about museums in the area instead.,"Fantastic, there are 11 museums in the centre. Can I recommend the Fitzwilliam Museum, if you don't have a preference?"
Fitzwilliam Museum sounds great. What is the postcode?,The postcode is cb21rb.
I need a three star hotel with internet. Can you help?,"I'm sorry, I cannot help you with hotels. Are you sure that's what you're looking for?"
I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.,"The stazione restaurant is an expensive, italian restaurant located in the centre area. Would you like me to make you a booking today?"
"Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?",The booking was successful. Your table will be reserved for 15 minutes and your reference number is TA6XS4CY .
"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.",Okay what kind of attraction are you looking for?
"Anything you'd recommend, as long as it's in the centre.","I recommend the vue cinema, it's got a lot of great features to watch!"
I am looking for a place to stay.,"Sure. Do you have a preference as to location, price, or amenities?"
"I would like free parking and wifi for sure. Preferably on the west side with 4 stars, too.",I'd suggest Finches Bed and Breakfast. It's a guesthouse in the west area with free internet and parking.
"That sounds wonderful. Could you reserve our rooms? We'll be a party of 8, and we'd like to arrive on Sunday. I think we'll be staying 4 nights.",I have booked Finches Bed & Breakfast for you starting Sunday for 4 nights for 8 people. Your reference number is H7WHFPQT . Is there anything I may assist with?
"Thank you, yes, I'd like to also find a nice park to visit while I'm in town. Can you see if there is one near my hotel?","Unfortunately, I could not find a park in the west. Can I try a different area?"
Is there anything interesting to see in the centre of town?,"In addition to architecture, colleges, and museums, we also have boat attractions, nightclubs, and theatres in the centre."
I would be interested in seeing some interesting architecture.,"There are a few places, mainly churches, that have great architecture. Do you want information on any of those?"
"No thank you though. I would like information on greek restaurants that would be in the same area as the churches you suggested, please?",there is no greek restaurant in the centre. can we change the location?
"Well, how about African food?",Bedouin is an expensive serving african food in the centre of town.
"That sounds good, can you book 2 people at 13:30 on Tuesday.",Booking was successful. Reference number is : IA596HSH . Is there anything else I can do for you?
"Yes, I'll also need a taxi to commute between the two places. I'll need to be at the restaurant by 13:30, of course.",Okay and where do you need the taxi to pick you up?
Can I get the next train?,I'm afraid our train system seems to be down at the moment. Can I help you find a hotel until it is back up and running?
"No, but I am looking for a nightclub to go to. What ones are there?",There are quite a few in the Centre. I suggest either Club Salsa or Soul Tree Nightclub.
"Club Salsa sounds good. Can I get their phone number, address and postcode please?","You sure may. The address is 1 Station Road, CB12JB. The phone number is 07782218745. Is there anything else I may help you with?"
"Hi, can you help me find a train? I'm in the planning stages of a trip there.",Absolutely! Do you know which train station you would like to use?
Not really but I am departing from Cambridge and going to Birmingham New Street.,"There are hourly trains Friday morning, you could take the TR5408 leaving at 7AM, arriving at 9:44. It costs 75.10 pounds. Does that work?"
"No. I need the train on a thursday and it has to arrive by 13:45. Can you give me the departure time, price, and travel time for that train?",I have TR2102 that leaves at 10:01 and arrives by 12:44. The ticket price is 75.10 pounds. And the travel time is 163 minutes. Anything else I can help with?
"Yes, do you have any suggestions of places to go in the centre?",sure! do you like museums?
Can you book a hotel for me? I would like a 3 star hotel or greater in downtown Cambridge for tonight for 2 people.,"There is one called the Gonville Hotel, but it's expensive. Is this alright?"
yes that would be fine. Are there any colleges in the centre that we can also visit? And may I have the address please?,"There are four in the area that are free and one that has a fee of 2 pounds, would you like more information?"
"Sure, which one would you recommend of the free ones?","I would recommend Saint Catherine's College located at King's Parade, postcode cb23rl."
"Thank you, I actually need a guesthouse with free parking.","Thank you for clarifying that you need a guest house. So that I might best find the right place for you, could you restate any other needs with regards to lodgings?"
I need free parking in the moderate pricerange.,"Unfortunately, I do not have any 3-star rated guesthouses that are moderately priced and in the centre with free parking. Would you like to change any criteria?"
"Hi, I am planning a trip and need some suggestions. I am looking for places to go in town.",Can I ask you some questions about the types of places you want to go while you're in Cambridge?
The attraction should be in the centre and should be in the type of cinema.,"The Vue Cineme is in the Grafton Centre, on East Road. Do you need any more information?"
What is the postcode for The Vue Cineme?,The postcode is cb11ps. Is there anything else I can help you with?
"Yes, I'd also like to find a moderately-priced guesthouse on the west side, if possible. I do need free wifi.",I have one place.Shall I book it?
"Sure, I'll be coming in on Sunday with one other person. We'll be staying for 3 nights.",Okay. Your booking was successful. The reference number is UOE033DZ . Can I help with anything else today?
Can you book me a taxi to get me from the cinema to the hotel?,"Absolutely, when did you want to leave?"
"Hi, I am planning a trip to your beautiful town and am looking for places to go when I get there. Can you help me?",Certainly. Do you have any particular types of things you'd like to see?
I'm interested in exploring the local architecture.,There are many colleges and churches to see.
Do you have a favorite?,My favorite is clare hall.
I need a place that is architecture.,How about old schools? It is architecture and a school!
"Could I have the postcode, area and entrance fee of what you recommend?","Okay, Old Schools is on Trinity Lane and is in the centre. Post code is cb21tt and it is free admission."
"Thanks! I'm also looking for an expensive, 2-star place to stay in the north. Do you have anything like that?",there are no expensive hotel in the north. can you change the location?
I am looking for a restaurant in the centre of town.,There are 69 restaurants in the centre. Is there a specific type of cuisine or price range you are looking for?
"I am looking for an expensive restaurant in the centre, type of food does not matter but I need a table for 7 people for Tuesday at 13:15.",Unfortunately there is no vacancy on that day at that time. Can we try another day or time?
Could we try for Tuesday at 12:15 please.,"I made a reservation at Bedouin, an African restaurant, for 7 people on Tuesday at 12:15. Your reservation number is PN95JSUF . Is there anything else?"
"Yes, I'm looking for a particular attraction called Whale of a Time. Do you have any information on it?","Yes, Whale of a Time is located in the west part of town, phone number is 01954781018. Any other questions?"
I'd like to find out more about taking a tour of Trinity College.,"I do not have information about tours, would you like the phone number for Trinity College?"
"Actually, can you tell me what type of attraction it is? My friend suggested it and mentioned the name, but not much else.",It is a college located on trinity street. The entrance fee is 1 pound. May I help you with anything else today?
"Yes, I'd like to find a restaurant in the centre of town.",Of course. There are many restaurants in the area. Is there a food type you're interested in?
I would chinese please.,Is there a price range you'd like to stay in?
"Yeah, I'd like a moderately priced restaurant. And type of food doesn't actually matter. Just somewhere moderately priced in the centre of town.","May I suggest Jinling Noodle Bar, they have excellent food moderately priced. Would you like a reservation?"
I'm looking for an expensive restaurant in the center of town.,"There are many expensive restaurants in the centre of town, is there a specific type of food you would like?"
Is there any Turkish cuisine? If so I need the postcode and the address.,The Meze Bar restaurant matches your tastes. It is located at 196 Mill Road City Centre. The postcode is cb13nf.
I am also looking for museums in the area.,"There are many museums listed in the centre area, what kind of museum are you interested in?"
"I don't really care, what do you recommend? I will need the postcode and entrance fee please.",How about Cambridge Contemporary Art? The entrance is free and the postcode is cb21su. Enjoy!
I'm looking for a place to dine in the centre in the moderate price range.,Would you like a table at Cotto?
"Yes, that would be fine. I don't need a book but can you give me the phone number and address for Cotto? Thanks","Sure! The phone number for Cotto is 01223302010 and the address is 183 East Road, City Centre. Is there anything else I can help you with?"
Can you tell what attractions are near the restaurant?,There are 44 attractions in the centre of town. Do you have particular type of attraction in mind?
"No, what do you recommend?",The old schools is wonderful located at trinity lane.
i am looking for places to go in town. The attraction should be in the type of college and should be in the centre.,There are several. May I recommend Emmanuel College? They are located on Saint Andrew's Street and have no entrance fee.
ok. What is their phone number?,Their number is 01223334200.
I also need a hotel to stay in.,What type of hotel are you looking for?
I need a HOTEL in the cheap price range.,"Then you want the cambridge belfry, would you like me to book you a stay?"
"Good evening, I need to take a train from Cambridge to Norwich.",What day and time do you want to travel?
I want to leave on Wednesday and arrive by 15:30.,I have train TR1144 leaving at 5:36 and arriving at 6:55. Would you like to make reservations for that?
"Yes, that would work. I don't need a ticket though. But, can I ask the price per ticket?",The price is 17.60. Can I help you with anything else?
i'm also interested in places to go in town.,What area would you be in?
I would like to go to a theatre in town. How many are there and where are they?,What area in town would you like to go to?
"I don't care, anywhere in town is fine.",i suggest the junction. it is in south. can i give you the address?
"Sure. What is the Address, phone number and postcode?",The address is clifton way and the postcode is cb17gx. Their phone number is 01223511511. Do you need anything else?
"No, thank you that is all.",I am glad we were able to help you today. Have a good day.
"Hello, can I please have some information on the types of museums that are available in Cambridge and their location?",Sure. There are 79 different museums in Cambridge. Is there an area of the city you were looking to visit? Or price range?
"Not really anywhere specific, and I don't care about the price range.",May I suggest the Broughton House Gallery? It is a nice museum in the centre which is free to visit. Shall I provide more information?
What is the postcode and phone number there?,01223314960 and cb11ln
"Hi, I am planning my Cambridge trip and could use some help with a particular attraction.","Sure, is there a particular area of town you're interested in?"
"No, I need help with a particular attraction. Can you help?","I sure can, what is the name of the attraction you are seeking information about?"
I'm looking for tenpin I want the address and entrance fee.,"Tenpin address is Cambridge Leisure Park, Clifton Way. I am sorry I have no information about their entrance fee. Can I assist you with anything else today?"
"Yes, I also wanted to find an expensive guesthouse to stay at.","I have expensive hotels, or moderately priced guesthouses. But no expensive guesthouses."
I am looking for some places to go in town. I'm so excited about seeing some of the local attractions.,There are many to choose from! Almost 80. Can you tell me if you have a certain type of place you want to visit?
"What do you recommend? I will be need the address, entrance fee, and postcode for what you recommend please.",I honestly recommend visiting a famous college such as Christs or Magdalene.
"Could I have the address, entrance fee, and postcode.",Christ's College is on Saint Andrew's Street and postcode CB23BU. There is no entrance fee. Can I help you with anything else?
"Yes, I'm also looking for a place to stay. The hotel doesn't need to include internet.",There are about 33 hotels that meet your needs. Can you narrow it down to a certain area of town and price range?
"I'm sorry,was Christ's College in the centre? I did need something in that area.",Yes it is in the centre.
Is there one in the centre with free parking,"Sorry, parking isn't something that is mentioned for attractions."
"Hi, can you suggest some tourist sites to visit in Cambridge?",There are 79 tourist sites listed in Cambridge. What type of attraction are you interested in seeing?
"Yes, I'd love to visit a college. Is there a nice one in the city centre?",Christ's College is on Saint Andrew's Street in the centre. It is lovely.
"What's the entrance fee, address, and phone number?","Christ's college is free to enter. It's located on saint andrew's street, and their phone number is 01223334900. Is there anything else I can help you with?"
"Hi, I'm curious about attractions located in the center of town.",I have over 40 great attractions in the town centre. How do you feel about entrance fees?
I don't care about entrance fees.,Do you have a preference for a particular area of town?
Yes I would like the center.,How about all saints church?
I am trying to find a museum to go to while I am in Cambridge on holiday.,There are several museums in Cambridge. Is there a certain area you are hoping to visit?
I have no particular area in mind. Which do you recommend and can I get the entrance fee and phone number please?,There are 23 museums in the area of cambridge what area do you want?
I'm departing cambridge . Can you find a train that leaves after 08:15?,Where will you be going and on what day?
I am trying to get to peterborough on Thursday please.,"TR4863 leave at 08:34, would that work for you?"
I'm looking for an attraction in the category of swimming pool.,I've got four pools for you. What area are you in?
I'm pretty open. Can you list the areas? I'll choose one of the four.,"Yes, west, east, south and north."
Please tell me about the locations of some pools in the south.,"I am sorry but there are none in the south. I have one east, two north and one centre."
One in the east is fine. I need the address please?,"The abbey pool and astroturf pitch is located at pool way, whitehill road, off newmarket road. Do you need anything else?"
"Yes, I'm also looking for a guesthouse in a moderate price range.",What area would you like to stay in?
Can you help me find a concert hall?,"There is one concert hall in town, The Man on the Moon, located at 2 norfolk street in the centre of town. Do you need more information?"
I need a concerthall on the west area of town.,I am sorry I have only one listing for the city center. Would you consider other attractions?
I am looking for Warkworth House hotel. Any information on it?,"It's a guesthouse in the moderate price range with a 4 star rating, internet, and free parking."
"Ok, and what area of town is that in?",It is in the east part of town.
Thank you. Are there any attractions I could visit in the town centre?,There are 25 possible attractions in the requested area. Are you looking for any specific types of attractions?
"No not really. Can you recommend me an attraction that's in the centre area? Can I also get the address, entrance fee, and phone number for it? Thanks!","There are forty four attractions in that area, could you tell me what type you would like to book?"
Can you help me find a train going to cambridge leaving on tuesday?,Where are you departing from and what is your departure time?
"I'll be departing Bishops Stortford. My departure time is flexible, but I need to arrive by 16:30.",The Bishops Stortford to Cambridge at 15:29 is scheduled to arrive at 16:07. The one before that is two hours earlier.
Could you give me the price and train ID for that one please?,TR1392. 10.10 pounds. Is there anything else?
Hi! I'm looking for an attraction named Kambar.,It is a nightclub in centre at 1 wheeler street. Phone is 01223842725. Do you need any more information?
thanks i want to get its entry fee and address,The address was just given to you and the phone is 01223842725.
Is there a entrance fee?,"Yes, there is a 5 pound entrance fee for the club."
"I am also interested in a place to stay, that includes free parking.",Do you have an area or price range in mind?
